controller,fid,err,L_H0,L_H1,L_H2,poly_r_H0,poly_r_H1,poly_r_H2,inradius_linf,inradius_l2,r0_joint,r0_H0,r0_H1,r0_H2,M_+e0,Mupper_+e0,nev_+e0,M_+e1,Mupper_+e1,nev_+e1,M_+e2,Mupper_+e2,nev_+e2,M_-e0,Mupper_-e0,nev_-e0,M_-e1,Mupper_-e1,nev_-e1,M_-e2,Mupper_-e2,nev_-e2,M_diagmmm,Mupper_diagmmm,nev_diagmmm,M_diagmmp,Mupper_diagmmp,nev_diagmmp,M_diagmpm,Mupper_diagmpm,nev_diagmpm,M_diagmpp,Mupper_diagmpp,nev_diagmpp,M_diagpmm,Mupper_diagpmm,nev_diagpmm,M_diagpmp,Mupper_diagpmp,nev_diagpmp,M_diagppm,Mupper_diagppm,nev_diagppm,M_diagppp,Mupper_diagppp,nev_diagppp
21,0.9999914531930443,8.54680695572263e-06,0.8213784146177635,1.2736410056530114,1.5827762767589086,0.0012070601995334026,0.0007784400695646709,0.0006264013478084039,0.0002695781045808716,0.00045243993100786706,0.0002695781045808716,0.0012070601995334026,0.0007784400695646709,0.0006264013478084039,0.005800016840169526,0.0058000168981502745,212,0.005523215054712238,0.0055232151099242,251,0.007186198282859071,0.00718619835468658,332,0.005800016840169526,0.0058000168981502745,212,0.005523215054712238,0.0055232151099242,251,0.007186198282859071,0.00718619835468658,332,0.005756017970864748,0.0057560180284003636,279,0.005944220339239196,0.0059442203986556,286,0.006779387987808857,0.006779388055574988,313,0.005889923211030889,0.005889923269906636,277,0.005889923211030889,0.005889923269906636,277,0.006779387987808857,0.006779388055574988,313,0.005944220339239196,0.0059442203986556,286,0.005756017970864748,0.0057560180284003636,279
22,0.9999894111260954,1.05888739045934e-05,0.8213784146177635,0.7974976864578719,1.2483360547799365,0.0012045740531821036,0.0012406445095620674,0.0007925839538991996,0.0003450777522939076,0.0005841318847078569,0.0003450777522939076,0.0012045740531821036,0.0012406445095620674,0.0007925839538991996,0.005513857295257967,0.005513857350376676,195,0.011203596746028319,0.011203596858014543,285,0.006793333718259112,0.0067933337861608035,272,0.005513857295257967,0.005513857350376676,195,0.011203596746028319,0.011203596858014543,285,0.006793333718259112,0.0067933337861608035,272,0.0055214247653291824,0.005521424820517838,228,0.007879545668967291,0.007879545747728773,276,0.007435383219422579,0.007435383293741792,276,0.007836067570183366,0.007836067648510324,263,0.007836067570183366,0.007836067648510324,263,0.007435383219422579,0.007435383293741792,276,0.007879545668967291,0.007879545747728773,276,0.0055214247653291824,0.005521424820517838,228
23,0.9999885827401283,1.14172598717488e-05,0.8213784146177635,1.0208096620144378,1.0100583487649788,0.0012035655217287264,0.0009684300383435837,0.0009787382494634148,0.0003465979416517214,0.0005975592339522703,0.0003465979416517214,0.0012035655217287264,0.0009684300383435837,0.0009787382494634148,0.0046820978230497756,0.004682097869849572,194,0.010450459454523378,0.010450459558983497,331,0.009865063323301749,0.009865063421907662,294,0.0046820978230497756,0.004682097869849572,194,0.010450459454523378,0.010450459558983497,331,0.009865063323301749,0.009865063421907662,294,0.006358778792500276,0.006358778856058869,246,0.006570497953058021,0.006570498018734321,249,0.007673241089122859,0.007673241165825486,264,0.006737425198303441,0.006737425265651161,252,0.006737425198303441,0.006737425265651161,252,0.007673241089122859,0.007673241165825486,264,0.006570497953058021,0.006570498018734321,249,0.006358778792500276,0.006358778856058869,246
24,0.9999868239874061,1.3176012593874e-05,0.8213784146177635,0.9951578217206101,1.154475343124844,0.0012014243007101714,0.000991625615416834,0.0008547813457232594,0.00033215083852984124,0.000569950698361947,0.00033215083852984124,0.0012014243007101714,0.000991625615416834,0.0008547813457232594,0.005732205327786193,0.005732205385087456,205,0.009743211490906102,0.009743211588293936,301,0.007431063851826807,0.007431063926106863,277,0.005732205327786193,0.005732205385087456,205,0.009743211490906102,0.009743211588293936,301,0.007431063851826807,0.007431063926106863,277,0.006051226473388011,0.006051226533871089,231,0.008672393634492388,0.008672393721178815,303,0.0074515644898151875,0.0074515645642929985,278,0.006957255887992973,0.00695725595753174,267,0.006957255887992973,0.00695725595753174,267,0.0074515644898151875,0.0074515645642929985,278,0.008672393634492388,0.008672393721178815,303,0.006051226473388011,0.006051226533871089,231
25,0.9999861964971261,1.38035028739436e-05,0.8213784146177635,1.1305495162478387,1.1081955799007497,0.0012006603528584524,0.0008723160577683945,0.0008899119568890576,0.00032227342904806653,0.0005529531044324602,0.00032227342904806653,0.0012006603528584524,0.0008723160577683945,0.0008899119568890576,0.0057036284437044765,0.005703628500723435,199,0.011075438428983758,0.01107543853968731,357,0.01162087453975922,0.01162087465591001,370,0.0057036284437044765,0.005703628500723435,199,0.011075438428983758,0.01107543853968731,357,0.01162087453975922,0.01162087465591001,370,0.007523589195938658,0.007523589271142881,277,0.008024491854057758,0.008024491934267117,302,0.008345842214110645,0.008345842297527835,287,0.008421218683296275,0.008421218767473124,304,0.008421218683296275,0.008421218767473124,304,0.008345842214110645,0.008345842297527835,287,0.008024491854057758,0.008024491934267117,302,0.007523589195938658,0.007523589271142881,277
26,0.9999858955586922,1.41044413077829e-05,0.8213784146177635,1.0436197155385836,1.2371640634729621,0.00120029397065489,0.0009446885144201978,0.0007968996091950583,0.0003178091592749205,0.0005431804052601533,0.0003178091592749205,0.00120029397065489,0.0009446885144201978,0.0007968996091950583,0.004798231920369914,0.004798231968335175,189,0.010256322783792649,0.01025632288630909,345,0.008836354600282327,0.008836354688606322,334,0.004798231920369914,0.004798231968335175,189,0.010256322783792649,0.01025632288630909,345,0.008836354600282327,0.008836354688606322,334,0.005641026812768837,0.0056410268691516295,248,0.006500230234529101,0.006500230299499523,272,0.007955764446249885,0.00795576452576864,321,0.007577679971881652,0.007577680047620493,292,0.007577679971881652,0.007577680047620493,292,0.007955764446249885,0.00795576452576864,321,0.006500230234529101,0.006500230299499523,272,0.005641026812768837,0.0056410268691516295,248
27,0.999984918272474,1.50817275259563e-05,0.8213784146177635,1.0859290862507442,1.058220218122727,0.0011991041582579602,0.0009069821270484605,0.0009307309155543515,0.00033212243007006004,0.0005711485758482377,0.00033212243007006004,0.0011991041582579602,0.0009069821270484605,0.0009307309155543515,0.005998334258487401,0.005998334318448122,216,0.011336570389986596,0.011336570503296553,349,0.010741951996065154,0.010741952103438564,349,0.005998334258487401,0.005998334318448122,216,0.011336570389986596,0.011336570503296553,349,0.010741951996065154,0.010741952103438564,349,0.0086590578709776,0.008659057957524693,291,0.008907809762622355,0.008907809851655263,300,0.008693386282559697,0.008693386369448955,314,0.007055236557641035,0.007055236628160126,270,0.007055236557641035,0.007055236628160126,270,0.008693386282559697,0.008693386369448955,314,0.008907809762622355,0.008907809851655263,300,0.0086590578709776,0.008659057957524693,291
28,0.9999836112575723,1.63887424277087e-05,0.8213784146177635,1.2155950198792778,0.8644090820468878,0.0011975129125213304,0.0008091603218880862,0.001137900188695284,0.0003390146773003684,0.0005776425508168118,0.0003390146773003684,0.0011975129125213304,0.0008091603218880862,0.001137900188695284,0.0054726636179437665,0.005472663672650456,203,0.010808715633903298,0.01080871574194347,373,0.015184231085577173,0.015184231237342593,375,0.0054726636179437665,0.005472663672650456,203,0.010808715633903298,0.01080871574194347,373,0.015184231085577173,0.015184231237342593,375,0.008338542674570446,0.00833854275791635,299,0.007561090802904645,0.00756109087848179,275,0.008183310928267854,0.0081833110100595,280,0.008171225875240887,0.008171225956912036,277,0.008171225875240887,0.008171225956912036,277,0.008183310928267854,0.0081833110100595,280,0.007561090802904645,0.00756109087848179,275,0.008338542674570446,0.00833854275791635,299
29,0.9999834265024687,1.65734975312581e-05,0.8213784146177635,1.0970942953639278,1.0715287237781947,0.0011972879795297817,0.0008963919570294142,0.0009177789457659425,0.0003289050270555998,0.0005652948104363642,0.0003289050270555998,0.0011972879795297817,0.0008963919570294142,0.0009177789457659425,0.0053269886902966605,0.005326988743540597,204,0.008604545691592868,0.00860454577759819,296,0.00934225792281136,0.00934225801618718,301,0.0053269886902966605,0.005326988743540597,204,0.008604545691592868,0.00860454577759819,296,0.00934225792281136,0.00934225801618718,301,0.0061676814449484075,0.0061676815066025355,259,0.007378810663695829,0.007378810737452035,271,0.0077350121933382684,0.007735012270649407,292,0.007283658901962611,0.007283658974762081,279,0.007283658901962611,0.007283658974762081,279,0.0077350121933382684,0.007735012270649407,292,0.007378810663695829,0.007378810737452035,271,0.0061676814449484075,0.0061676815066025355,259
30,0.9999831413238557,1.68586761443157e-05,0.8213784146177635,0.9661898113403267,0.8018392726650493,0.0011969407843648095,0.0010175447022040807,0.0012261077217947584,0.000379678101795748,0.0006552628120122556,0.000379678101795748,0.0011969407843648095,0.0010175447022040807,0.0012261077217947584,0.005347041950863088,0.00534704200431343,207,0.0077900769394857634,0.007790077017354999,255,0.009513026087005308,0.009513026182092106,263,0.005347041950863088,0.00534704200431343,207,0.0077900769394857634,0.007790077017354999,255,0.009513026087005308,0.009513026182092106,263,0.006209239763300667,0.006209239825368093,228,0.007606263628972372,0.0076062637049969135,278,0.0071904424524124,0.00719044252428689,262,0.006805227729106906,0.006805227797127297,249,0.006805227729106906,0.006805227797127297,249,0.0071904424524124,0.00719044252428689,262,0.007606263628972372,0.0076062637049969135,278,0.006209239763300667,0.006209239825368093,228
