controller,fid,diag_gain_min,diag_gain_med,diag_gain_max,inradius_gauge_est,inradius_gauge_cert,inradius_poly,inradius_gain_est,inradius_gain_cert,traj_box_joint,traj_box_sep,traj_gain,ang_diag_gain,ang_inradius_cert,ang_inradius_gain
31,0.999981994804659,1.5177825180474618,1.5177825180474618,1.5177825180474618,0.0007852167556785229,0.0005970944970419875,0.0005809950154325636,1.3515034291540553,1.0277101888687246,0.0009180974435756783,0.0006048939374771272,1.5177825180474622,1.763111587775806,0.001052744226731895,1.7631115877758061
32,0.9999807400686458,1.5213646273510848,1.5213646273510848,1.5213646273510848,0.0008048032811653755,0.0006502997913022238,0.0005758899838847306,1.3974948404840877,1.1292083722581066,0.0009004078024021288,0.0005918422094313239,1.5213646273510848,1.7559955985342555,0.0011419235712544498,1.755995598534255
33,0.9999807199896826,1.5493773751555375,1.5493773751555375,1.5493773751555375,0.0006885813361252318,0.0005556365948835022,0.000496236388123979,1.387607504416217,1.1197014329885917,0.0007960492644910672,0.0005137865553323667,1.5493773751555366,1.7558840987418296,0.0009756334616349974,1.7558840987418296
34,0.9999804245786236,1.5682250522021715,1.5682250522021715,1.5682250522021715,0.0008674362790506312,0.0007358139504365414,0.0006017126801878681,1.441612097620742,1.2228659535757231,0.0009647505388923636,0.0006151862818015935,1.568225052202171,1.7542519461796657,0.0012908030545794502,1.7542519461796648
35,0.9999789260363197,1.5626161532190095,1.5626161532190095,1.5626161532190095,0.0006219305601045199,0.0005229375962090931,0.0004357079757478661,1.4274022848377153,1.2002020282311854,0.0007062898119574302,0.0004519918794532261,1.562616153219009,1.7462005668134541,0.0009131539269083835,1.7462005668134541
36,0.99997863981606,1.5534138758631173,1.5534138758631173,1.5534138758631173,0.0006840042999461163,0.0005722391544971732,0.0005061820026551509,1.3513011058437636,1.1305007912085434,0.0008126787773643505,0.0005231566358404031,1.5534138758631182,1.7447038874526037,0.000998387877403809,1.7447038874526035
37,0.9999782017135218,1.5675395627402617,1.5675395627402617,1.5675395627402617,0.0008688250099144117,0.0006930440895302594,0.0005845240286262217,1.4863803152051227,1.185655431752031,0.0009270858591353522,0.0005914274071109795,1.5675395627402626,1.7424371835183403,0.0012075857914151374,1.7424371835183399
38,0.9999775387838377,1.5578863749674432,1.5578863749674432,1.5578863749674432,0.0009407183700049017,0.0008369975565413555,0.0006282299114724989,1.4974109841410856,1.3323108964670738,0.0009838551976555454,0.0006315320638683336,1.5578863749674423,1.7390610810702878,0.0014555898755319987,1.7390610810702873
39,0.9999744085017265,1.5359936748704575,1.5359936748704575,1.5359936748704575,0.0007633917089519988,0.0006333033792479407,0.0005561139357513427,1.3727253713227157,1.1388014910870925,0.0008658688468642185,0.0005637190185286693,1.535993674870458,1.7239166650981144,0.0010917622495484765,1.7239166650981148
40,0.9999742592136068,1.5758273667939582,1.5758273667939582,1.5758273667939582,0.0006963367412275415,0.0005774404633814107,0.00048073134996235844,1.4484945516494088,1.2011708065775712,0.0007685174008741173,0.0004876913658617796,1.5758273667939589,1.7232245890994393,0.0009950596052398213,1.7232245890994393
41,0.9999724444277631,1.5467914551210518,1.5467914551210518,1.5467914551210518,0.0009140975489685322,0.0008010065799580604,0.0006228569563218626,1.4675882474950965,1.2860201236062596,0.0009552986382840082,0.000617600152316103,1.5467914551210518,1.7150094923858312,0.0013737338880915836,1.715009492385831
42,0.9999710122751596,1.5140482963905497,1.5140482963905497,1.5140482963905497,0.0007581605785310673,0.0006336564682673674,0.00054135315296699,1.4004916649618135,1.170504807803356,0.0008178658945123631,0.0005401848121107716,1.51404829639055,1.708768593504377,0.0010827722720461797,1.7087685935043762
43,0.999969510522715,1.5349792817408827,1.5349792817408827,1.5349792817408827,0.0006962099491746057,0.0006078952963428212,0.0004938800364212077,1.4096742079706985,1.2308561827033946,0.0007581484110741614,0.0004939144261376052,1.5349792817408827,1.7024346466323708,0.001034902014018871,1.7024346466323708
44,0.9999564152856523,1.4754743086482824,1.4754743086482824,1.4754743086482824,0.0007262347042318462,0.0006336370457912652,0.0005374957437525728,1.35114503263147,1.1788689550683205,0.000766520193926379,0.0005195076521722743,1.4754743086482829,1.654334112416071,0.001048247379743034,1.6543341124160709
45,0.9999550715123738,1.5129457716007797,1.5129457716007797,1.5129457716007797,0.0007403607619417934,0.0005871347226315704,0.0005312046098348643,1.393739339295172,1.105289208265894,0.0007748584867378239,0.0005121521876610166,1.5129457716007793,1.6499750705492693,0.0009687576553959509,1.6499750705492693
46,0.9999470205626795,1.5669707504967494,1.5669707504967494,1.5669707504967494,0.0007308867840660154,0.0006293089081541671,0.0005062977962965488,1.4435906879553555,1.2429619736791588,0.0007542588810001381,0.0004813484111053306,1.5669707504967503,1.625555430725441,0.0010229765132539037,1.6255554307254403
47,0.9999444525464534,1.5482786756194022,1.5482786756194022,1.5482786756194022,0.0006676479184570376,0.0005589353310218827,0.0004924975523137196,1.3556370286927797,1.1348997135032308,0.000729073269275205,0.00047089279259338295,1.5482786756194027,1.618304843301264,0.0009045277532849076,1.618304843301263
48,0.9999438611998864,1.496099033058633,1.496099033058633,1.496099033058633,0.0006009193529589831,0.000541074937574863,0.00044552670523151274,1.3487841377470793,1.2144612909201475,0.0006372027218562804,0.00042590945370346226,1.4960990330586328,1.6166681176953346,0.0008747386008612743,1.6166681176953341
49,0.9999436897848124,1.5361930765600011,1.5361930765600011,1.5361930765600011,0.0009042757240844239,0.0007836628294485028,0.0006094184386394349,1.4838338762825694,1.2859191316857421,0.0008747404300131276,0.0005694208907463214,1.536193076560001,1.6161959057649242,0.001266552656454826,1.6161959057649238
50,0.9999403929265362,1.5948410789063776,1.5948410789063776,1.5948410789063776,0.00090563123656657,0.0008114586168377818,0.0005941047432792159,1.524362912115219,1.3658510995196929,0.0008813527460546852,0.000552627316734938,1.5948410789063783,1.6073016105202766,0.0013042587417139225,1.6073016105202762
51,0.9999377005712213,1.5864311109745686,1.5864311109745686,1.5864311109745686,0.0007807576850216082,0.0006459982885283397,0.000538335744539206,1.4503173771043305,1.1999914460097547,0.0007968495690686021,0.0005022906847679538,1.5864311109745692,1.6002888336196193,0.001033783847669287,1.600288833619619
