scope,check,n,min_slack,tol,passed,max_fraction_of_bound
ctrl10:H1,trajectory_certificate,62,0.0008538608443724449,2.9431832731878565e-14,1,
ctrl10:H2,constant_margin,101,1.0397904759429366e-11,2e-06,1,
ctrl10:H2,fs_angle,25,0.034640215863110564,1e-09,1,
ctrl10:H2,trajectory_certificate,62,0.000863484507318879,2.9431832731878565e-14,1,
ctrl11,polytope,60,0.0009715816470683425,1e-12,1,
ctrl11,lipschitz_pairs,30,0.0006597948643595786,1e-12,1,
ctrl11,tv_slope,188,2.5040156598717336,1e-09,1,0.11346361110510805
ctrl11:H0,constant_margin,101,1.3881118476888332e-11,2e-06,1,
ctrl11:H0,fs_angle,25,0.03768416202616197,1e-09,1,
ctrl11:H0,trajectory_certificate,62,0.0008356929987833883,2.5641022198044307e-14,1,
ctrl11:H1,constant_margin,101,1.506250679739196e-11,2e-06,1,
ctrl11:H1,fs_angle,25,0.036153624633954634,1e-09,1,
ctrl11:H1,trajectory_certificate,62,0.0008514813224992368,2.5641022198044307e-14,1,
ctrl11:H2,constant_margin,101,1.5473400338805732e-11,2e-06,1,
ctrl11:H2,fs_angle,25,0.03578404821603977,1e-09,1,
ctrl11:H2,trajectory_certificate,62,0.0008850898473438118,2.5641022198044307e-14,1,
ctrl12,polytope,60,0.0009736422225956609,1e-12,1,
ctrl12,lipschitz_pairs,30,0.0007386540365917154,1e-12,1,
ctrl12,tv_slope,186,2.494319223063338,1e-09,1,0.10896542437085247
ctrl12:H0,constant_margin,101,7.4522610304939e-12,2e-06,1,
ctrl12:H0,fs_angle,25,0.037190856974268015,1e-09,1,
ctrl12:H0,trajectory_certificate,62,0.0008275396304892046,2.6834955469142515e-14,1,
ctrl12:H1,constant_margin,101,4.2237324748839455e-12,2e-06,1,
ctrl12:H1,fs_angle,25,0.03681681493930389,1e-09,1,
ctrl12:H1,trajectory_certificate,62,0.0008776223684139328,2.6834955469142515e-14,1,
ctrl12:H2,constant_margin,101,8.699707620962727e-12,2e-06,1,
