controller,fid,err,M_H0,Mm_H0,Mp_H0,zeta_H0,M_H1,Mm_H1,Mp_H1,zeta_H1,M_H2,Mm_H2,Mp_H2,zeta_H2
23,0.9999885827401283,1.14172598717488e-05,0.0046820978166404875,0.0047829775767231335,0.0046820978166404875,-0.00479950016541785,0.010450459444864724,0.010486509714764745,0.010450459444864724,-1.02821590791813e-05,0.009865063375361817,0.009865063375361817,0.00986793480393166,2.4657440431716615e-05
24,0.9999868239874061,1.3176012593874e-05,0.005732205326821313,0.005732205326821313,0.005927629296644903,0.005206267563261935,0.009743211496014797,0.009757355309262016,0.009743211496014797,-2.4813952606651606e-05,0.0074310638890116715,0.007436811927841258,0.0074310638890116715,-2.1909982566989858e-05
25,0.9999861964971261,1.38035028739436e-05,0.005703628449975212,0.005703628449975212,0.0057283986282499096,0.0004502560984058394,0.01107543842020566,0.01107543842020566,0.011134653092870263,7.12487246861731e-05,0.011620874505550084,0.011620874505550084,0.011627747251585246,8.408320553078806e-05
26,0.9999858955586922,1.41044413077829e-05,0.004798231940940076,0.004798231940940076,0.005013244101730233,0.009478289544852163,0.010256322705793769,0.010256322705793769,0.010260400760428123,1.8531413322919716e-05,0.0088363546726807,0.0088363546726807,0.00883724520325949,2.6284944639488113e-05
27,0.999984918272474,1.50817275259563e-05,0.005998334259332109,0.005998334259332109,0.006259624829633166,0.006665922481903274,0.01133657045946645,0.011339636280248946,0.01133657045946645,-0.00013162838585306587,0.010741952001457094,0.010815028673679554,0.010741952001457094,-0.00032649048043823686
28,0.9999836112575723,1.63887424277087e-05,0.005472663631426629,0.005472663631426629,0.005536137886458908,0.0016622944146699845,0.010808715625116292,0.010808715625116292,0.010812431737928696,1.0697671672777638e-05,0.015184231098091288,0.015186885061958852,0.015184231098091288,5.988258308762537e-06
29,0.9999834265024687,1.65734975312581e-05,0.005326988658822997,0.005348718570082738,0.005326988658822997,-0.0008259672228509418,0.008604545649503522,0.008632024105324475,0.008604545649503522,2.9581247376902478e-05,0.009342257879744681,0.009342257879744681,0.00934984525674781,0.00011293780224320272
30,0.9999831413238557,1.68586761443157e-05,0.00534704191921361,0.00534704191921361,0.005689497640939117,0.011141274493141224,0.007790076923120575,0.007809027645195597,0.007790076923120575,-0.00010656035745717429,0.009513026138231788,0.00953024544355267,0.009513026138231788,-6.152693381172481e-05
31,0.999981994804659,1.80051953410088e-05,0.006306046671092573,0.006399178052112715,0.006306046671092573,-0.0027665206119702806,0.012107813664735446,0.01211334572588458,0.012107813664735446,2.948492927283159e-05,0.007389796491056119,0.007389796491056119,0.007398136777970714,0.00021197372791280275
32,0.9999807400686458,1.92599313542097e-05,0.006402549111478311,0.0065033068300009485,0.006402549111478311,-0.0028275435234834463,0.009423467961617431,0.009469809449533241,0.009423467961617431,6.843731845112805e-05,0.013574167217202435,0.013583029902864202,0.013574167217202435,-6.609447776556261e-05
