controller,seed,fid,err,M_H0,r0_H0,rfs_H0,KM_H0,KMtv_H0,M_X1,r0_X1,rfs_X1,KM_X1,KMtv_X1,M_X2,r0_X2,rfs_X2,KM_X2,KMtv_X2,inradius_l2,inradius_linf,M_gamma,r0_gamma,gamma_star
26,20260826,0.9999999999959198,4.080180637799913e-12,0.005680523614366606,0.0017623154606309002,0.003523818295570798,0.004651060204866917,0.0028402697684402124,0.022759328306978716,0.004184349805925658,0.008366770155843927,0.010154635980687271,0.006686804960296207,0.041480935273963196,0.004762421755048998,0.009522647497887931,0.020645729555752973,0.008663976810774087,0.0015372114742316855,0.0009838663069803276,0.0002501906739922646,0.00024987499524735884,0.0002501907193916641
27,20260827,0.9999999999956231,4.376943252282217e-12,0.005728056782809653,0.0017623154601079107,0.003523810253743023,0.0043837327665134,0.0028402635575743075,0.020664479634395588,0.003790378419797809,0.007578991754649842,0.009158013323854278,0.006197404459226698,0.040555870757210705,0.004740734954622939,0.009479262266901616,0.019748727520088376,0.008545536966683615,0.0015143145247865305,0.0009595096918014161,0.00025018431556576165,0.00024987499517312655,0.0002501843291277926
28,20260828,0.9999999999993718,6.281641873329136e-13,0.005868123931337959,0.001762315466714442,0.0035239550631761085,0.004817923704221378,0.002840375396642402,0.02297921479943781,0.0035791981404351253,0.00715702361315122,0.0086162084974247,0.005457079249422433,0.04183784098809895,0.006268572503600358,0.0125347409304264,0.022928512219798514,0.011243250898793026,0.0015330440613090573,0.000993686673812974,0.0002501935839887851,0.0002498749961103907,0.00025019364417284675
29,20260829,0.9999999999992434,7.566169912820442e-13,0.011226989570246908,0.0017623154664880678,0.003523946453006882,0.00773774112624206,0.00284036874685624,0.015256723241827894,0.002493536155763494,0.004986103826835294,0.009727353646372037,0.004449377138132838,0.02817913897793934,0.002833551504369226,0.005666002462733229,0.010378760907731894,0.004801074919646294,0.0012831466627711806,0.0007567810259973387,0.00025018016136252764,0.0002498749960782775,0.000250180405871287
30,20260830,0.9999999999986108,1.3892220707134584e-12,0.0058329977911326,0.001762315465373218,0.0035239120414852286,0.0046160967468228615,0.0028403421702152304,0.022190657492394437,0.0037534314729785415,0.007505331834398672,0.0109668742647921,0.006578389754751766,0.03873602016435349,0.0052833027041803,0.010564450226923244,0.021405441345883666,0.009662438617935283,0.0015271372927248884,0.000977389351903384,0.00025018659312513734,0.000249874995920154,0.00025018661801212586
31,20260831,0.9999999999990054,9.946488077616777e-13,0.006449722853022531,0.0017623154660685806,0.0035239322474274167,0.00446553007547241,0.0028403577756327745,0.025487065489926363,0.003933431767157287,0.007865304092384087,0.014959911622704046,0.00711482666026971,0.0405392483590718,0.004678996536408046,0.00935613804549557,0.020097855117604573,0.008487268182774971,0.0015209360977559044,0.0009658221971896892,0.00025017211285201333,0.00024987499601870016,0.0002501723184984826
32,20260832,0.9999999999993675,6.324940571289517e-13,0.006098279577408244,0.0017623154667068114,0.0035239547593207896,0.004106399513826696,0.002840375161969639,0.019965815241431557,0.004144444030168106,0.008287297899133331,0.012746740256292624,0.007492433142774114,0.03640339225854173,0.005082179711113727,0.010162409465865671,0.01605898527687738,0.008702874358414308,0.0015450230348690677,0.0009945418051976508,0.0002501687019202556,0.0002498749961093221,0.0002501688914113164
33,20260833,0.9999999999977719,2.2281065881202267e-12,0.008069004346112296,0.0017623154638948388,0.003523877048697172,0.006361981323608935,0.002840315144629824,0.018976176390259718,0.0042563446615841195,0.008510868554232935,0.011820278836772282,0.007320458720124807,0.04042622458386554,0.006647556567682152,0.01329226945952119,0.01844193667836073,0.011028414899758598,0.0015815129837128774,0.00104952730831452,0.0002501809575904847,0.00024987499571037735,0.0002501812060052613
34,20260834,0.9999999999994978,5.021538740379583e-13,0.006049122972141789,0.001762315466936512,0.003523964416665663,0.004253414751545098,0.0028403826205064503,0.027166398999276628,0.004011976889160786,0.008022436427040074,0.013786067464720471,0.0072305303726066155,0.03865617097688279,0.006228620612983405,0.012454885528082651,0.022004652643273778,0.011404492879837762,0.0015619542974109157,0.0010232920018783851,0.00025017418131396886,0.0002498749961418794,0.00025017439684886294
35,20260835,0.9999999999990785,9.2148511043888e-13,0.007887093830137382,0.001762315466197518,0.0035239364127817893,0.005464880918170234,0.002840360992610889,0.025798684630942544,0.004488626291085755,0.008975483637249057,0.015896265394741843,0.00817501379380069,0.03927301194857262,0.0061041533648785624,0.012205901113784567,0.01928191726192436,0.010564986456692668,0.0015842031722709683,0.00104817024677818,0.00025017176502742817,0.0002498749960370327,0.00025017196901901405
36,20260836,0.9999999999991895,8.104628079763643e-13,0.007049143407669772,0.0017623154663931743,0.00352394306331218,0.005097604793833885,0.0028403661289345575,0.024679020641111004,0.003583863200679583,0.0071663275427879545,0.01292625276171402,0.006469626129987237,0.0443237093335135,0.004360476587485372,0.008719251187560116,0.017487273183420502,0.007691814069302324,0.00148669799137686,0.0009295438012170434,0.00025016912889109025,0.00024987499606470503,0.00025016932039336257
37,20260837,0.9999999999992517,7.482903185973555e-13,0.0058600739925662275,0.001762315466502742,0.0035239469878277315,0.004431503212096072,0.002840369159907898,0.019202161662026193,0.0030540802603674384,0.006106975248570927,0.007700780093701255,0.004782830212383941,0.030386121950530625,0.0038094590041033408,0.007617439577604883,0.014592125321352236,0.006703339552398873,0.0014169049056475596,0.0008640274915028411,0.00025018387697441313,0.0002498749960803314,0.0002501838883595364
38,20260838,0.9999999999995202,4.798383912429927e-13,0.006887861469709786,0.0017623154669758388,0.003523966191142536,0.005404592386380037,0.0028403839909659848,0.022766571994954972,0.0031176302937798448,0.006234084621985883,0.010306685632798199,0.005302778824807032,0.044012800800831836,0.00482191882335116,0.009642018825995047,0.01974583227569035,0.008463007568127142,0.0014619561241534143,0.0009127601563094596,0.0002501736695686117,0.0002498749961475138,0.0002501738826498188
39,20260839,0.9999999999995514,4.4864112425102576e-13,0.006352198374238212,0.0017623154670308183,0.0035239687425613372,0.004392938294012749,0.0028403859614711483,0.02658394614319503,0.005607849890310937,0.011213592626368398,0.016560044067365963,0.010244339110037023,0.03842564819178732,0.005123381389772641,0.010244837664733223,0.018482119128105344,0.009000417982056726,0.0015974400206836305,0.0010627666184804116,0.000250170103475398,0.0002498749961552576,0.0002501702995817705
40,20260840,0.9999999999998331,1.6686652060116103e-13,0.00865233674636716,0.0017623154675273942,0.0035239978609530155,0.006618877140619999,0.0028404084501034432,0.021904307387169305,0.002975639470542014,0.00595021000631059,0.01115647415018606,0.00530432439799621,0.03955563624095647,0.003868998332720545,0.007736606810622599,0.015224883785069698,0.006719878906425755,0.0014117807617370114,0.000860613086102781,0.00025016737629492917,0.0002498749962256596,0.0002501675595557818
41,20260841,0.9999999999995244,4.756195437494171e-13,0.006884346110119689,0.0017623154669832739,0.0035239665312210146,0.00494514673575306,0.002840384253614504,0.02580526452315822,0.0043283201636963205,0.008655008526586155,0.014588185937066539,0.00785849790663203,0.039284628555626575,0.005322476211485462,0.010642945819797885,0.020075389880891033,0.009592293573881602,0.0015604811557454747,0.0010138344970326894,0.0002501693173669774,0.00024987499614854074,0.000250169509758117
42,20260842,0.9999999999984513,1.5486500970496309e-12,0.005649405178863441,0.0017623154650922555,0.0035239047098927696,0.004627299292857247,0.0028403365078910566,0.022267300527458823,0.002859791323230605,0.005718404174995565,0.007970427428008188,0.004554972134460185,0.03989029207590928,0.004643584513267132,0.009285255484170966,0.017102417220105103,0.008054133093504093,0.0014276509973205585,0.0008830318069581146,0.00025019062577786867,0.0002498749958802831,0.00025019067092946055
43,20260843,0.9999999999994407,5.593303598061539e-13,0.006213395587175299,0.001762315466835749,0.003523960042367176,0.005104862913308543,0.00284037924215922,0.02240548895750702,0.003399966036176705,0.006798637748101262,0.007600227535079992,0.004959781594999057,0.039022743418952,0.004279059782342738,0.008556490580515122,0.01951713562540557,0.007834944039502701,0.0014694705924654064,0.0009130318204981344,0.0002501961303755354,0.0002498749961275159,0.0002501962036119127
44,20260844,0.9999999999983238,1.6762147225790613e-12,0.00831594325644437,0.0017623154648674464,0.0035238991116781373,0.005847561740471545,0.002840332184285767,0.024558382942282304,0.00441286630959318,0.008823900134984871,0.014617514073310921,0.007890054173022945,0.037284972305734534,0.005661936812534812,0.011321522452604637,0.020113121490244475,0.010202550925815297,0.0015722631686217524,0.0010302232599800074,0.00025016988659464824,0.0002498749958484336,0.00025017008167697397
45,20260845,0.9999999999998678,1.3222756223285614e-13,0.005714188561303195,0.0017623154675884389,0.0035240028599489333,0.004677043588513307,0.002840412310911966,0.02284650671472563,0.0036953012465640745,0.0073892855171295594,0.010127971845084629,0.0061136445208549274,0.0425792802227642,0.004526938908345809,0.009052264451639199,0.02053126029032243,0.00825742724872847,0.0015007312168445685,0.0009443324958189046,0.00025018452022639763,0.00024987499623431935,0.00025018453479804133
46,20260846,0.9999999999998761,1.2390088954816747e-13,0.006936084747744854,0.001762315467603113,0.0035240041565012,0.004762788784271492,0.002840413312261107,0.02090290115096359,0.004216035414770165,0.008430571369729536,0.01271399944752732,0.0073185380994799905,0.04141424644541247,0.004164301454184877,0.008327121848071087,0.019581791900228088,0.007626842331248807,0.001514617531049581,0.0009571564624699233,0.00025017092930467973,0.00024987499623644265,0.00025017112932292546
47,20260847,0.9999999999992242,7.758238496080594e-13,0.008201942126180129,0.0017623154664542192,0.0035239452304669525,0.0061123199808881925,0.0028403678026669146,0.016125603419405124,0.004032518634131914,0.008063468248456995,0.010839988862488312,0.006835874335395314,0.038914773159134344,0.006063040542389304,0.012123722005611523,0.022982527325911137,0.010859475181501078,0.0015604403109821666,0.0010200407198851045,0.000250185420333742,0.00024987499607350355,0.0002501854393759618
48,20260848,0.9999999999995459,4.54081217071689e-13,0.006130907022680449,0.0017623154670212311,0.0035239682914110526,0.004582179998594404,0.00284038561303985,0.030216040778154485,0.0035074760504055576,0.007013633265901508,0.014589386858863799,0.006312286945809935,0.032820241269215414,0.004995201643216321,0.009988525056556539,0.016724890908272408,0.008707303016016578,0.001501859218151679,0.0009499087361081922,0.00025016858662231083,0.0002498749961539392,0.0002501687755685847
49,20260849,0.999999999998778,1.2220224832049098e-12,0.008391747536967427,0.0017623154656678764,0.0035239201983712286,0.006263721581008649,0.0028403484699279203,0.028621777159474924,0.0027630795027799603,0.005525044669492126,0.009640529136069383,0.004599898759986165,0.023915368143399784,0.002870260331181736,0.005739363100806601,0.010645064058305802,0.005019564114666855,0.001319509055587803,0.0007826252315574955,0.0002501706364989711,0.00024987499596192613,0.00025017083512860166
50,20260850,0.999999999996343,3.656963620812803e-12,0.0065703659507800605,0.001762315461376742,0.0035238302885045487,0.004695874293682754,0.0028402790308228536,0.027323996961109258,0.004012436124805808,0.008023049367242603,0.015006978964109586,0.007260254716693019,0.03505453751569525,0.005095410886381588,0.010188506886150963,0.016631617843973972,0.008591105871431734,0.0015382576106824418,0.0009872492059957694,0.00025017223703747754,0.0002498749953531631,0.00025017244327995083
