kind,seed,err,fid,M_H0,rfs_H0,M_X1,rfs_X1,madv_X1,madvF_X1,M_X2,rfs_X2,madv_X2,madvF_X2,cancel_H0,cancel_X1,cancel_X2,inradius_gauge
nominal,20260820,3.2218672174622043e-13,0.9999999999996767,0.00584265713494907,0.003523980020992114,0.025387807878914048,0.00722121652596259,0.01606820386993527,0.9989122685369027,0.037421625449255674,0.011013859877768383,0.02098720222475947,0.9989150903906596,15.308834895719178,3.5194481107822826,2.379266086284248,0.001774931574107299
nominal,20260821,2.141620214501927e-13,0.9999999999997856,0.007677963356147618,0.0035239917853828284,0.019885073734394257,0.007746704475333804,0.01625293152047021,0.9989505335518021,0.03860071006604483,0.009414298622582277,0.022124383905614914,0.9989215766847682,11.626111073762434,4.497875202996295,2.3132930302827264,0.00177930223504951
nominal,20260822,4.880540416252188e-13,0.9999999999995112,0.00585415447332035,0.003523965471192853,0.02246619313569919,0.006705495425625016,0.016262218137068355,0.9989363927658845,0.03374138597979546,0.010109440488689985,0.02086694013948391,0.9989913065028371,15.265789469556271,3.976636244031954,2.6497679606665043,0.0017749310174464046
nominal,20260823,4.397593400540245e-13,0.9999999999995565,0.007850702845318941,0.0035239691685860688,0.0282768385844151,0.006339694204070767,0.014185629042314428,0.9989764105793562,0.04029924138873402,0.01505578675171743,0.03144146075815508,0.9989518034443596,11.385061840137352,3.1465027407861097,2.2176278273942396,0.0017775633432991335
nominal,20260824,3.871125642262996e-12,0.9999999999961302,0.00784641206095547,0.0035238241753994316,0.028583855850451118,0.007875918647247222,0.014807577045417459,0.9989763087332015,0.03844485765160781,0.010485306519885287,0.026048839828478332,0.9989464941268449,11.394495016837862,3.1297905855498347,2.324992141583509,0.0017798800029395696
nominal,20260825,1.7602586055431857e-12,0.9999999999982389,0.008938226594901148,0.003523895501885451,0.021714561150657286,0.008753542927628295,0.01850604962647756,0.9989589239671754,0.03238829980460628,0.008627363592651191,0.018278013532997676,0.9989369156755256,9.98096374184672,4.1162683792310775,2.7608797850734605,0.0017779001738196523
nominal,20260826,4.079292459380213e-12,0.9999999999959198,0.005680523614366606,0.003523818295570798,0.022759328306978716,0.008366770155843927,0.017654741770372302,0.9989810288756108,0.041480935273963196,0.009522647497887931,0.019276294309221162,0.9989702326548119,15.745760544139785,3.928262976417868,2.148126880002278,0.0017757957957552331
nominal,20260827,4.378719609121617e-12,0.9999999999956231,0.005728056782809653,0.003523810253743023,0.020664479634395588,0.007578991754649842,0.016543826875593633,0.9989851885835461,0.040555870757210705,0.009479262266901616,0.021231465893447835,0.9989563156976161,15.60050013002413,4.324481707940504,2.1958761543920366,0.0017763123036551567
nominal,20260828,6.291633880550762e-13,0.9999999999993718,0.005868123931337959,0.0035239550631761085,0.02297921479943781,0.00715702361315122,0.01503855920400149,0.9989655644889931,0.04183784098809895,0.0125347409304264,0.024762090172668377,0.9989576425633422,15.23261909154616,3.891142950201824,2.1287312284220916,0.0017713714389131926
nominal,20260829,7.542855229303314e-13,0.9999999999992434,0.011226989570246908,0.003523946453006882,0.015256723241827894,0.004986103826835294,0.008575886387950676,0.9989529481662699,0.02817913897793934,0.005666002462733229,0.010418403290215615,0.9989830009664976,7.956395637540668,5.855984862313883,3.156667779029951,0.0017664400302303675
robust,20260810,7.001987748500582e-06,0.9999929980122502,0.013827428981211465,0.003229183302607173,0.027805754929911344,0.006171239610948098,0.011192517058099424,0.9989792541474551,0.04886828442522759,0.006067976074896441,0.013229584885486968,0.9989663703570746,6.343030391555881,3.141385933324154,1.7930313141622782,0.0017609148536210828
robust,20260811,7.234287862534217e-06,0.9999927657121374,0.013853515589950833,0.0032243320207705982,0.04491788999146338,0.00570309666494129,0.010961389372315382,0.9989924042636632,0.05837201548538404,0.0055949497865540355,0.012541767360567413,0.9989769620970635,6.267035356686082,1.9351883114414288,1.4809887734413811,0.0017567336073763715
robust,20260812,6.56089158856954e-06,0.9999934391084118,0.013971969228875343,0.0032386218586265745,0.05347592160332297,0.0049544181073270105,0.00933711996706337,0.9989967461550864,0.04668873146190486,0.004895708076934381,0.009734554045122875,0.9989338317238827,6.22472011965182,1.6540134839548288,1.8645386096134975,0.0017507261237308571
robust,20260813,5.267595573732464e-06,0.9999947324044236,0.014027363778690339,0.00326829584803796,0.04831768645574881,0.006033567393924296,0.013111833449984713,0.9989555636397703,0.03378584994471724,0.006203347344652527,0.01435383166700638,0.9989447335145061,6.200294389853387,1.8052210128997679,2.6059449247265927,0.0017637142686373578
robust,20260814,2.021902635129802e-05,0.99997978097365,0.009492557777364245,0.003022987804482309,0.021412443510597467,0.0038025874122759474,0.008985236579085502,0.9989999451974626,0.04806419503016513,0.004822148771863239,0.009815458842326279,0.9989551194609547,9.123014211468497,4.058045767840655,1.765250683946207,0.0017107069206799997
robust,20260815,5.297152085304013e-06,0.9999947028479119,0.014615956352999986,0.0032675793505687807,0.058478511606087163,0.005447570078897793,0.01023899189321827,0.9989583779001804,0.046800474427412656,0.006602250811541394,0.012719346767709794,0.9989647457348362,5.953640257419406,1.4663358745156343,1.8754943709476761,0.001757932613595189
robust,20260816,6.4527106760081665e-06,0.999993547289324,0.015092511466780555,0.003240984764287639,0.0682766876592907,0.005817152789712976,0.0109240364822469,0.9989302090442488,0.040785354426196366,0.007147272110534482,0.014124469305083692,0.9989817273564423,5.727136568094454,1.2075401059537794,2.13580155790534,0.0017581818918680195
robust,20260817,1.7161477004257186e-05,0.9999828385229951,0.009033666024486318,0.0030624250975883373,0.019912048900570828,0.003741503895801841,0.00909751392862572,0.9989501967417447,0.024472470865709438,0.003577649111471087,0.00783083279459119,0.9989997770795941,9.671013318097849,4.339149865492539,3.6165501285157973,0.0017068558490862956
