seed,fid,err,u1_0,u1_1,u1_2,u1_3,u1_4,u1_5,u1_6,u1_7,u1_8,u1_9,u1_10,u1_11,u1_12,u1_13,u1_14,u1_15,u1_16,u1_17,u1_18,u1_19,u2_0,u2_1,u2_2,u2_3,u2_4,u2_5,u2_6,u2_7,u2_8,u2_9,u2_10,u2_11,u2_12,u2_13,u2_14,u2_15,u2_16,u2_17,u2_18,u2_19
20260819,9.9999999999874967e-01,1.2503331703328513e-12,-5.0497912900725526e+00,-2.2713704174381890e+00,4.4360536951175664e+00,9.5392218519726749e-02,7.0058598800956162e-01,1.1897627234357491e+00,-8.9898802937130151e-01,2.3632877790400633e-01,1.6942958588221513e-01,-2.9069979400589252e-01,-6.0140184644293959e-01,9.6909109195669685e-01,-5.7441588221610962e-01,3.0582355154971763e-01,3.9229067528464118e-01,-1.0053549333134832e+00,-1.6198262190920987e+00,6.5633508954404736e+00,1.7484918124292737e+00,-1.6649025514295890e+00,-2.1090566083986495e+00,-9.9484828387808222e-01,2.1040112934661597e+00,7.2366527121658419e-01,-7.1224727072531158e-01,-9.0542640675906394e-01,1.0847296911951758e+00,-3.8960428895574212e-01,-1.0998650961631031e+00,-2.2253878542969425e+00,-7.9612731882885701e-01,4.4319190367750433e-01,2.2118702236281540e-01,3.1017555074284747e-01,2.9991070462826159e+00,6.8752284916851980e-01,-2.9997164658493669e+00,1.2164722970201203e+00,-2.9401586418860925e+00,-5.4587242080284260e-02
20260820,9.9999999999967781e-01,3.2218672174622043e-13,2.1749155469337809e+00,5.2906521933359718e+00,-2.5878244454232364e+00,-1.0864278024730549e+00,-7.0392348703264163e-01,8.4738967525302844e-01,5.9018937229402868e-01,6.4585114529621535e-01,-1.5468888316804769e-01,4.8309599777034712e-01,-1.8804605222685106e-01,6.1152845047477700e-02,-1.0793719769532144e-01,2.1161300154660667e-01,3.8995935873530757e-01,-9.9324816071540134e-01,2.7738132652296188e+00,-4.1462587704473792e+00,-5.1436428155202893e+00,2.3866473790941956e+00,-1.0941383630722004e-01,-1.2151733170475212e+00,4.2533443629560430e-01,1.4797221334806507e+00,-3.7189194471517395e-03,-3.6103728283438734e+00,-6.7728151410168413e-01,4.5172718343085561e-01,-1.0097956642491037e+00,5.7321055829171952e-01,-2.2298814609998976e-01,-2.8083952942858526e-01,5.2193298100241958e-01,-2.0380146427154702e+00,1.6000298725146180e+00,1.9352903952281066e+00,-6.5694258093343760e-01,-8.3698454403354539e-01,-5.1116257769209017e-01,-2.1437015539489273e+00
20260821,9.9999999999978584e-01,2.1416202145019270e-13,1.9808022652870310e+00,8.3283003347415938e-02,3.6809069195199391e+00,-8.5183841128815974e-01,9.3554043267223508e-01,-1.6867222373902329e+00,-2.4979801270807700e+00,8.9208208339742454e-02,1.4692903473496024e+00,9.9372160789380448e-01,2.4173684559245014e+00,-1.6375096995452136e+00,-1.2887453927024080e+00,-2.0169963543446041e+00,-2.0588136421068631e-01,3.0176284509905380e+00,3.7640464547030600e-01,2.8746208920641432e+00,-1.3283229014080181e-01,-6.2946636573468639e-01,-1.1563880439087901e+00,1.9335939896112411e+00,1.0607642282159933e+00,-7.8499677918156152e-01,-4.8627477039141408e-02,7.3683458411107772e-01,2.6256149479240141e+00,-9.9574743515759978e-01,-3.0806449382854301e-01,1.0612232181668633e+00,1.4040651542581881e+00,-1.7219425364694372e+00,-4.8283479467973026e-02,2.1219328694184232e+00,-1.4666713634552659e+00,6.0705958434825835e-01,7.5569301957667034e-01,-1.0530983983938755e+00,3.0978524851256877e+00,-7.6500549432433917e-01
20260822,9.9999999999951195e-01,4.8805404162521882e-13,-3.6880807504748634e+00,-3.8471510177723829e+00,2.5367077856732037e+00,2.2913485198851973e+00,-1.4781574729881743e+00,5.9869110234455591e-01,-1.1160351541613238e+00,1.9870461934929504e-01,6.2670681571765086e-01,6.8190553101361606e-01,2.6941795424490106e-01,4.7755164998725957e-01,-1.1758785675963359e+00,-1.5663138821839762e-01,4.9878609349773612e-01,-1.1568738671290424e+00,-3.6058434562636667e-02,4.6900008927685635e+00,4.2080397407542334e+00,-3.6161123336307357e+00,3.8886108556020232e-01,-2.2466384282041991e+00,2.1620938176915936e+00,1.7948899116510406e+00,-3.1777628057759227e-01,-1.7824817559644346e+00,1.2248038459348523e+00,1.5927846107897070e+00,5.2941810841648207e-01,3.1012178032646326e-01,1.1127090548391643e+00,5.9184703683046014e-01,-1.7845639284846961e+00,-1.9211204337648033e-01,1.6163170268909752e+00,-2.5900736742842856e-01,-8.9894928800953688e-01,-1.8544823609751460e+00,4.0335283843522980e-02,-1.4197741825127352e+00
20260823,9.9999999999956024e-01,4.3975934005402451e-13,1.1185579759104056e+00,-2.7291377607785177e+00,-1.3256614253078844e+00,-2.0840828998767050e-01,-1.4149917428722196e+00,6.0106185114424525e-02,2.2901905946380570e+00,2.7909292082604247e+00,-2.3958642603359457e+00,-1.3151365200176577e+00,-5.7599743020838112e-01,-2.9694215267384005e+00,-1.7238663010390471e+00,1.9454320653926169e+00,2.4750593216691281e+00,1.8595723646721911e+00,2.7295613494533106e+00,3.1433594138488568e+00,-6.7603928628218857e-01,1.5258162837834910e+00,-7.4552681718416480e-01,2.9318315401452413e+00,1.0315539214961573e+00,-5.0977064887318035e-01,-3.1152077577412357e-01,2.1937218742789377e-01,9.8528831561631586e-02,5.9696534664679790e-01,-6.5497337190169536e-01,5.8567921647880118e-03,1.7326729766875909e-01,-6.1677094544749178e-01,-1.0010996277956876e+00,1.5758370682292824e-01,3.1874085756925887e+00,5.7660178087950231e-01,-8.6162300547929638e-01,-5.7519461946472017e-01,-5.5336260761284853e-02,-5.4202305712074783e-01
20260824,9.9999999999612887e-01,3.8711256422629958e-12,1.8678870466977178e+00,1.6140311959017415e+00,9.0392410219642783e-02,3.3434838909280926e+00,-8.0226849582341914e-02,-2.4400318569632451e+00,-1.4214472986695217e+00,-1.2616333758132128e+00,2.2563222583348999e-01,-1.0853339235103041e+00,2.5004674197403260e+00,9.1762643036948244e-01,-2.1978677256460766e+00,-1.9225952204736074e+00,-1.0990540819781074e+00,1.3166014381036608e+00,-2.7114460668942503e-01,3.3140474653750385e+00,7.2690243118961662e-01,-6.9539548551274077e-01,-1.4573039074781127e-01,7.3311725008000261e-01,-6.1479192997228216e-01,9.6586495524740401e-01,-2.1257673468066676e+00,1.4721771610260930e+00,2.2355750383736734e+00,-1.9345121608799856e+00,4.0610519180569821e-01,-9.5182433331659411e-01,1.7185463991123857e+00,-1.2236193477674255e-01,5.3164613856867338e-01,-2.0414738214542782e-01,-7.9838188530126364e-01,-1.8379614455464982e-01,-9.3521961620920868e-01,9.8655957792734528e-01,3.9065274943306805e+00,-3.5352686665025862e-01
20260825,9.9999999999823974e-01,1.7602586055431857e-12,-3.2741388626967527e-01,7.5622643707519699e-01,3.6538286499431281e+00,9.0894310777726250e-01,-6.3010387604760547e+00,-5.8359569625387364e-01,1.3814726932818229e+00,1.0183743047311102e+00,-4.0421440729653585e-01,-2.9345540437409254e+00,-1.2394210312250561e-01,7.5232006957844988e-01,1.4133553210812442e+00,-1.1021580454624655e+00,5.3254932756810491e-01,3.3315249001525049e-02,-1.4407451151270323e+00,-1.4291585816885106e+00,-7.7906939077282134e-02,3.7066384645374828e-01,1.4521632809291081e+00,-4.1778339338838996e-02,-4.2057773351855599e-01,3.3951862109403903e+00,1.7957148073053347e-01,-3.6971896007127505e+00,-9.3894462810768220e-01,1.7394745583208027e+00,-1.8035099043000118e+00,-5.9520460832615148e-02,1.5294741309200504e+00,7.9283117589665664e-01,-1.2666076089401166e+00,1.2183067725090537e+00,-1.2961889580795243e-03,3.3303039247982343e-02,-8.9721202993798974e-02,-1.0117141234720343e-02,5.0174830746779495e+00,2.2323393002747287e+00
20260826,9.9999999999592071e-01,4.0792924593802127e-12,5.3212739614705038e+00,2.5652369774572086e+00,-2.9297901146897480e+00,1.3191683407653490e-01,1.0108669274211787e-03,-1.9959304953839752e-01,6.0286350239768960e-01,-1.0226965372746211e+00,-9.9761324718524627e-02,-3.0162357876917939e-01,-2.8365892016756777e-01,5.2765539933625248e-03,5.2152507966122440e-02,-6.3577214989678033e-01,6.8726229843576636e-01,2.7271229474894365e-01,-2.1183830466014664e+00,-6.0552321590931237e+00,2.3468222801673537e+00,1.0930630505729519e+00,1.7919980968299953e+00,-1.6819345113246476e+00,1.4315436697826758e+00,2.1998652583174345e+00,-2.5207454161463843e+00,3.3196061699490159e-01,1.6662057887587580e+00,-4.6798345124079932e-02,1.9609886774794649e+00,-1.4425007514617037e-02,-8.0020127267854202e-01,7.7421313397926039e-01,1.7634874347052690e-01,-1.3777611656701132e+00,8.3780006962188691e-01,-1.2040206431573595e+00,-2.6577770943725105e+00,-2.6533829900855815e-01,-1.5112137924189448e+00,-2.3089653490771811e-01
20260827,9.9999999999562128e-01,4.3787196091216174e-12,6.1373174956196488e+00,1.0475318972128620e+00,-1.6167616978788855e+00,-1.2790088678017675e-01,8.3542283270322681e-01,5.6053322624060231e-01,-6.0080475327495098e-01,1.6979647813320169e-02,-6.1440695645309729e-01,4.3994310998265179e-01,3.8450039035641631e-01,1.6999038100719057e+00,2.1807851859941754e+00,8.2879716515329083e-01,9.3510824751634669e-01,4.5785080732063621e-01,-4.5484380013485772e+00,-1.5283894877904012e+00,3.2553735003873197e+00,1.6872600874303234e+00,1.1188960986228924e+00,-1.2012091956259066e+00,2.6712036696169754e+00,2.5870665714260888e-01,-2.0524871273253185e+00,3.7285860447705571e-01,1.2854428553210928e-02,-9.2693673523846354e-01,-9.7104115437912242e-01,-1.2423978798480526e+00,-6.0977192039762507e-01,-1.6642877534371892e+00,1.1783595805847007e-01,-3.3808230772059578e-01,-1.2130588516810306e+00,-1.9281297268801143e+00,2.1851566532268976e+00,-2.8379413761740512e-03,-1.8141228571090824e+00,2.8875807116158896e+00
20260828,9.9999999999937084e-01,6.2916338805507621e-13,9.7352833245555837e-01,1.7955798120641026e-01,-8.2524481453734353e+00,1.1652577237777577e+00,4.1749823042080231e-01,-4.9001901200508580e-01,1.2416278600653273e-01,6.8779486034110171e-01,-9.3563155501081463e-01,9.8644815909880634e-01,-4.6864616843762147e-01,-1.1412390928257837e-01,-2.3383226590457407e-01,9.4295932187863130e-01,-1.4113215917858846e+00,7.9913653339273094e-01,2.7692501754385890e-01,-4.1339369707910452e+00,3.2687455004257169e+00,5.3828343395734812e+00,-5.8839622257301494e-01,-1.8812709225944670e+00,-8.5847189836445192e-01,-2.1623359822184418e+00,7.9900977668905593e-01,1.1295277395224498e-01,-1.4947800762893761e-02,-8.0433558689732376e-01,-7.0228212350329533e-01,-5.7393083674717593e-01,-1.2434121566880365e+00,-6.2228408983861849e-01,1.2392915636651907e+00,4.7485854274735728e-01,-2.2713956552718515e+00,-5.0579129372162779e-01,1.0668584707914586e+00,7.4330950934721929e-01,-7.7723195776484733e-01,3.9763709140255715e-01
20260829,9.9999999999924571e-01,7.5428552293033135e-13,-4.0342798693675946e-01,-3.2593423692501724e+00,6.4614093905262793e-02,-3.0928556196501256e+00,-2.0646507525158628e+00,3.1389268231593865e+00,5.1076627395013521e+00,1.6813553817360169e-01,-5.7725654317427813e+00,-5.9316233242711949e+00,3.6346419836482746e+00,2.1002391789152441e-01,-1.9320459441386597e+00,2.0157645663953434e+00,1.7421827557998741e+00,-3.6397571486360500e+00,2.7105566392023173e-01,1.0905960491639877e+00,1.0915945168331798e+00,2.1703431616224547e-01,2.8884576719050736e-01,4.6979038481296183e+00,-1.4458387979495453e+00,-4.8439674655294673e-01,6.5080701873647262e-01,-1.5882328577243616e+00,7.7862997938333001e-01,9.8536901694389653e-02,1.5504220360220322e-01,-1.1901987465659489e+00,3.5444230163937253e-02,1.0161528631032923e+00,-2.5394299236375475e+00,3.3348313965874574e+00,-3.1444312113621460e+00,-7.0412388458027735e+00,6.8715944669619144e+00,2.5960143805499687e+00,4.5156929681808933e-01,1.0577133181451315e+00
20260830,9.9999999999860933e-01,1.3906653606454711e-12,-4.4351747185242845e+00,-2.6586764057318657e+00,3.3020273556757127e+00,9.6098594555576655e-01,-2.6528022072259100e-01,1.1792002112948220e-01,6.6945693818227670e-01,-1.4602671515718910e-01,5.9613487837138834e-01,3.2526272951322244e-01,-6.5053654448683729e-01,-9.1131232155921382e-01,-8.2423898013406116e-01,-9.2642189028071731e-01,-1.9077500349782564e-01,-8.4321803655088035e-01,3.6583352510857510e+00,3.3944919358848713e+00,-2.8295498920434254e+00,-2.0886065534622529e+00,1.8876487134988349e+00,-1.8706752064826362e+00,1.7973216762222997e+00,7.0810298463929766e-01,-1.7142675378973788e+00,-1.6342961842024345e-01,1.1206568948608551e+00,2.5609320007287800e-01,8.2973458419976984e-03,-1.0863916414538379e+00,-9.6104128038467873e-01,-1.3592150332315638e+00,-4.6767723027824398e-01,-5.4406402296626555e-01,7.0201786022750068e-02,-1.9883111179399884e+00,-5.8690095722918711e-01,1.3672175944200471e+00,-2.2806016711667003e+00,9.2882613632994426e-01
20260831,9.9999999999900546e-01,9.9453778545921523e-13,2.5812086421438662e-01,2.8264090268028902e-01,2.0302229293337390e-01,1.0652097324210372e+00,-1.8826410442503978e+00,-2.5318131214070321e+00,-4.3003283722340024e-01,-8.5872593576739187e-01,-1.5313940316872983e+00,7.0760812974464715e-01,3.0026652669763179e+00,-1.9032416956921154e+00,-2.5037715032214714e-01,1.6205021492506924e+00,1.9652855780495646e+00,3.3838614065183954e+00,1.7667058496642281e+00,-7.8313998145202413e-01,-9.7350916981748004e-01,-3.0304930789942142e+00,1.2603522579701574e+00,2.7771425711659745e+00,1.5311517099177918e+00,-1.5635119671764625e-01,4.5600176439706741e-01,-7.9872972431305866e-01,1.1945055997241660e+00,-5.6568774993481485e-01,2.0440076855447803e-01,-1.3890574429245645e-01,1.9811104884487973e+00,-1.9286892506439002e+00,-2.7117005487521112e-01,-2.0850222284985720e+00,4.0504834403326240e-01,1.3385801806539261e+00,-2.0357789629591503e+00,-1.5342191515968828e-01,1.8545969427931830e+00,-2.7640669885748790e+00
20260832,9.9999999999936673e-01,6.3327121324618929e-13,-2.1744580007031539e-01,-1.7955827829768137e-01,3.2291819535862581e-01,-2.7849448833850725e+00,-8.6987965228111497e-01,3.1291076666900319e-01,-2.8057782965336409e+00,-4.7902269523295798e-01,-3.2263514814885585e+00,-2.3618425655878710e+00,-5.6644261166661047e-01,1.3358418455262777e+00,1.7379375297832191e+00,7.8231418384375107e-01,-1.4185527489721581e+00,-2.3229873297634986e+00,-1.7619402640155961e+00,5.8638189629828752e-01,-1.1980569891043026e-01,2.7905840770294867e+00,-3.7261846019679497e+00,2.8344241993281294e+00,2.1326158090096086e+00,-6.6937284967218069e-01,8.3610435402377212e-02,9.2431529854578842e-01,1.0303277440074357e-01,-1.2944600341165524e+00,-1.4864147642280432e+00,-1.0753907643469476e+00,9.4236898198531392e-03,9.9428733194639707e-01,-2.0404667930822273e+00,-5.6447097453052419e-01,1.4396290866623440e+00,3.1680233222753218e-01,-8.7840241876099368e-01,1.1554830077242817e-01,1.1416690435387138e+00,1.7408409932001878e-01
20260833,9.9999999999776934e-01,2.2306601010768645e-12,8.6117806593719148e-01,-7.6327459693027977e-01,1.6823514990253461e+00,1.2105294754829783e+00,-1.8280981122498023e+00,-4.2644718426435330e-01,4.3218539464291235e+00,1.5208023798970451e+00,-4.3497503943990639e+00,2.4891006476260902e-01,2.5464599496626943e+00,3.0028341819997856e-01,-2.3745510789771958e+00,-3.5486207825362198e-01,5.7119358375558471e-01,3.6152934669564896e-01,-6.8229092069749253e-01,-1.1431740318515037e-02,8.3591018816801876e-01,-1.0223296427241195e+00,-1.3320469771255932e+00,3.2982564332818027e+00,6.5619388509561005e-01,8.1213566790525327e-01,2.8453880290801714e-01,-2.9784358691454188e-01,1.5865846403424657e+00,1.9974929635670099e-01,1.0025472845841139e-01,-8.5450293724529058e-01,1.2010259883715717e-01,-1.0848527462967454e+00,4.0572697933901081e-01,2.2129311961564686e+00,3.4381837975191780e-02,3.6707283752268999e-01,-7.6249419199665680e-01,1.8583144431955976e+00,-1.6105141397912257e-01,3.9389196378795227e-01
