controller,fid,err,M_H0,Mm_H0,Mp_H0,zeta_H0,M_H1,Mm_H1,Mp_H1,zeta_H1,M_H2,Mm_H2,Mp_H2,zeta_H2
24,0.999986823987406,1.3176012593874e-05,0.00573018291606156,0.00573018291606156,0.00592530787952224,0.005206267563261,0.00973916078426018,0.00975321409455835,0.00973916078426018,-2.48139526083847e-05,0.00742781384906278,0.00743352474886206,0.00742781384906278,-2.1909982573447e-05
25,0.999986196497126,1.38035028739436e-05,0.00570195047998756,0.00570195047998756,0.00572664518676112,0.000450256098417215,0.0110698434999078,0.0110698434999078,0.0111295471905025,7.12487246859892e-05,0.011615380778903,0.011615380778903,0.0116222793178369,8.40832055323464e-05
26,0.999985895558692,1.41044413077829e-05,0.00479683328029153,0.00479683328029153,0.00501176643251554,0.00947828954484536,0.0102516985746393,0.0102516985746393,0.0102557579787893,1.85314133244155e-05,0.00883238425098854,0.00883238425098854,0.00883328206293057,2.628494463871e-05
27,0.999984918272474,1.50817275259563e-05,0.00599606372988168,0.00599606372988168,0.0062570390456762,0.00666592248190084,0.0113314803584885,0.0113346383848016,0.0113314803584885,-0.000131628385844882,0.0107371996095343,0.0108099637732496,0.0107371996095343,-0.000326490480435595
28,0.999983611257572,1.63887424277087e-05,0.00547081345702603,0.00547081345702603,0.00553414863673022,0.00166229441466358,0.0108034105023565,0.0108034105023565,0.0108071048078979,1.06976716749022e-05,0.0151768539329334,0.0151794756562992,0.0151768539329334,5.98825831427844e-06
29,0.999983426502469,1.65734975312581e-05,0.00532464262128366,0.00534636461920441,0.00532464262128366,-0.00082596722285641,0.00860097203163268,0.0086282253565507,0.00860097203163268,2.95812473741038e-05,0.00933788382820281,0.00933788382820281,0.0093454807303362,0.000112937802233496
30,0.999983141323856,1.68586761443157e-05,0.00534522074905044,0.00534522074905044,0.00568736755117018,0.0111412744931397,0.00778705274331637,0.00780590660955601,0.00778705274331637,-0.00010656035745141,0.00950881325851539,0.00952593200628021,0.00950881325851539,-6.15269338103349e-05
31,0.999981994804659,1.80051953410088e-05,0.00630364926720165,0.00639682900856419,0.00630364926720165,-0.00276652061197604,0.0121017067804488,0.0121084182050978,0.0121017067804488,2.94849292715828e-05,0.00738659661740209,0.00738659661740209,0.00739495214183101,0.000211973727914764
32,0.999980740068646,1.92599313542097e-05,0.00639963759635115,0.00650043038955208,0.00639963759635115,-0.00282754352348289,0.00941946186448841,0.00946540112826494,0.00941946186448841,6.84373184502096e-05,0.0135679077986134,0.0135767863461277,0.0135679077986134,-6.60944777676651e-05
33,0.999980719989683,1.92800103173685e-05,0.0060911366333506,0.00623835865260381,0.0060911366333506,-0.00354152040050619,0.00891834902087978,0.00891834902087978,0.00894186174573873,-0.000309785008601288,0.00699391265516113,0.00703549463120382,0.00699391265516113,-0.000758746547031004
34,0.999980424578624,1.95754213764276e-05,0.00580737950443724,0.00580737950443724,0.0063587170769834,0.0147562883836893,0.00868932290170716,0.00873965609988084,0.00868932290170716,-5.82197305203614e-05,0.0143682506355238,0.0143957109409915,0.0143682506355238,0.000215248435508126
35,0.99997892603632,2.10739636803403e-05,0.00587016930119471,0.00591643618340173,0.00587016930119471,-0.00182066888091034,0.00863084625177924,0.00863084625177924,0.00867643964112557,0.000222076352802859,0.00831615232174009,0.00831615232174009,0.00835380117588851,-1.7096462604593e-05
36,0.99997863981606,2.13601839399447e-05,0.00643889299950591,0.00643889299950591,0.006487409104556,0.00106058636732383,0.0111289063493709,0.0111404267953015,0.0111289063493709,-3.59951793686102e-05,0.00824939491115934,0.00833741952905438,0.00824939491115934,-0.000160468334850228
37,0.999978201713522,2.17982864781918e-05,0.00494012051896515,0.00529216790686502,0.00494012051896515,-0.01331673039281,0.00650841979962783,0.00651279736810547,0.00650841979962783,0.000156743181337892,0.0102702296631149,0.0102702296631149,0.0102877169994026,2.48960423625967e-05
38,0.999977538783838,2.24612161623394e-05,0.00576498154910965,0.00576498154910965,0.00580211779185936,0.00103649750237426,0.00938648367665929,0.00938648367665929,0.00947333073227104,0.000554572254783206,0.009755491165595,0.009755491165595,0.00982548518585378,0.000252138724180788
39,0.999974408501726,2.5591498273525e-05,0.00507192848412342,0.00507192848412342,0.00539967313521638,0.0112715135108368,0.0111938313389319,0.0111938313389319,0.0112127323669362,-7.77849661753898e-05,0.00811218424214416,0.00813023167450806,0.00811218424214416,-0.000138522154051317
40,0.999974259213607,2.57407863931691e-05,0.00536924085392534,0.00554482848675142,0.00536924085392534,-0.00733759565513832,0.00868095387550365,0.00868646104049576,0.00868095387550365,-3.59487380600907e-06,0.0127097324575336,0.0127097324575336,0.0127252971742786,-0.000209027263739194
41,0.999972444427763,2.75555722368814e-05,0.0057739650455567,0.0057739650455567,0.00610966349100471,0.00925485697039935,0.00911952341526563,0.00911952341526563,0.00916309212299061,0.000154848509609802,0.0110778391326846,0.0110778391326846,0.0112317887349712,0.000793193900122905
42,0.99997101227516,2.89877248403902e-05,0.00510117189717524,0.00510117189717524,0.00526796901736795,0.00563754386663868,0.00909169184805328,0.0091127248410805,0.00909169184805328,-0.000183452362095786,0.00762531812765705,0.00763591303856631,0.00762531812765705,0.00013237568998395
43,0.999969510522715,3.04894772850117e-05,0.00603503914162316,0.00603503914162316,0.00646040045317688,0.00957264549896342,0.0113805800326592,0.0113805800326592,0.0113995882910536,-6.64233446022946e-05,0.00747844883224391,0.00747844883224391,0.00748719282702488,2.11670613209072e-05
44,0.999956415285652,4.3584714347733e-05,0.0062653844214418,0.0062653844214418,0.00641531249059634,0.00262339290215877,0.00654413141813098,0.00658977123554731,0.00654413141813098,3.06229390310264e-05,0.00742125273518839,0.00742805103327398,0.00742125273518839,-2.67206088848101e-05
45,0.999955071512374,4.49284876261613e-05,0.00583567376476042,0.00600406631096663,0.00583567376476042,-0.00534918774337134,0.00839923413478073,0.00839923413478073,0.00842600726020271,-0.000179401635981179,0.00738800480003612,0.00742865502558643,0.00738800480003612,-0.000662573460953478
46,0.999947020562679,5.29794373205217e-05,0.00611884887574695,0.00611884887574695,0.00631822724768444,0.00448417669073682,0.00924797092900634,0.00927238446409824,0.00924797092900634,-5.01201318134258e-05,0.0100043777807527,0.0100299375604263,0.0100043777807527,-4.81597201438514e-05
47,0.999944452546453,5.55474535466338e-05,0.00639605037788461,0.00639605037788461,0.00663691507654435,0.00498672158430503,0.00635406107964744,0.00636260329682638,0.00635406107964744,-0.000366776526291955,0.0113942558144219,0.0113942558144219,0.0114300878285272,0.000140170611164194
48,0.999943861199886,5.61388001135699e-05,0.00574123317125125,0.00574123317125125,0.0060513947459175,0.00800527993182625,0.00969458832128742,0.00969458832128742,0.00978739518159811,0.000608309869863184,0.00743509545106582,0.00743683520520742,0.00743509545106582,0.000528592554193001
49,0.999943689784812,5.63102151875938e-05,0.00564966186887184,0.00564966186887184,0.00609758301815981,0.0120001348518342,0.0089451654789892,0.00895240715306315,0.0089451654789892,0.000103849558320597,0.0124013573635728,0.0124013573635728,0.0124075132139912,4.38730753105321e-05
