controller,structure,fid,err,KM,Fmin_m1_grid,Fmin_m105_grid,Fmin_m1_x4,Fmin_m105_x4,Fmin_m1_x16,Fmin_m105_x16,violated,omega_avg_traj,omega_unc_traj,omega_avg_excess
16,H1,0.9999946724644592,5.32753554083332e-06,0.001661599157657994,0.9998718157659405,0.9998592162424051,0.9998555372585882,0.9998412957612516,0.9998547249825098,0.999840343486325,0,,,
16,H2,0.9999946724644592,5.32753554083332e-06,0.0014836169381105305,0.9999099138914522,0.9999008006536555,0.9999048154144129,0.9998955833519652,0.9999043303307823,0.9998952277167501,0,,,
17,H0,0.9999944998331917,5.50016680833654e-06,0.0013259991353158553,0.9999304011671689,0.999924232630096,0.9999304011671669,0.999924232630107,0.9999304011671679,0.9999242326301518,0,,,
17,H1,0.9999944998331917,5.50016680833654e-06,0.0012233220807510248,0.9999114407952713,0.9999060745243841,0.9998969878261994,0.9998835737583818,0.9998909663408557,0.9998804476839324,0,,,
17,H2,0.9999944998331917,5.50016680833654e-06,0.0009400763860814825,0.9999133100737686,0.9999059543666795,0.9999058418758304,0.9998969503974717,0.9999044418687272,0.9998953320837386,0,,,
18,H0,0.9999942152718732,5.78472812684527e-06,0.0013233916564844074,0.999943276160591,0.9999382542734823,0.9999432761605913,0.9999382542734837,0.999943276160588,0.9999382542734867,0,,,
18,H1,0.9999942152718732,5.78472812684527e-06,0.0011934991367809357,0.999900568259419,0.9998894648739555,0.9998909976198613,0.999880429883902,0.9998907600428659,0.9998801263195755,0,,,
18,H2,0.9999942152718732,5.78472812684527e-06,0.0016187986371635008,0.9999228262001487,0.9999133526905957,0.999896367836457,0.9998858561316466,0.9998944398241836,0.9998843717750954,0,,,
19,H0,0.9999917977476402,8.20225235975691e-06,0.0013034066366318924,0.9999435605149114,0.9999388337074202,0.9999435605149155,0.9999388337074283,0.999943556656875,0.9999388337074674,0,,,
19,H1,0.9999917977476402,8.20225235975691e-06,0.0013442468073826634,0.9999243756162792,0.9999141032595804,0.9999099485352749,0.9999017067253352,0.9999114758973596,0.99989976290386,0,,,
19,H2,0.9999917977476402,8.20225235975691e-06,0.0012760371907223514,0.9999248456307468,0.9999214890007121,0.9999184486364723,0.9999115386525302,0.9999178121377901,0.9999105645656119,0,,,
20,H0,0.9999917792203681,8.22077963191781e-06,0.001303265738772,0.9999229854698856,0.9999161461769688,0.9999229854698926,0.9999161461769697,0.9999229854699219,0.9999161461769679,0,,,
20,H1,0.9999917792203681,8.22077963191781e-06,0.0014706369234138564,0.9999271785430592,0.9999187910594113,0.9999199787116095,0.9999131032881777,0.99991988652837,0.9999125131891134,0,,,
20,H2,0.9999917792203681,8.22077963191781e-06,0.0018088157643506922,0.9999110281352002,0.9999046939413264,0.9999029420922255,0.9998939726786514,0.9999019089140372,0.99989289507527,0,,,
21,H0,0.9999914531930443,8.54680695572263e-06,0.001300811635684571,0.9999375743215618,0.9999321276926388,0.9999377292990406,0.99993201324077,0.9999377520453558,0.9999319786391005,0,,,
21,H1,0.9999914531930443,8.54680695572263e-06,0.0012722131699537682,0.9998969045529202,0.9998871775988031,0.999893239419832,0.9998829573026656,0.999891567726337,0.9998812413945796,0,,,
21,H2,0.9999914531930443,8.54680695572263e-06,0.000974956052868938,0.9999111326126179,0.9999035480447142,0.9999045514194347,0.9998956625770102,0.9999041882037673,0.9998953041261296,0,,,
22,H0,0.9999894111260954,1.05888739045934e-05,0.0012863956704620204,0.9999346744305484,0.9999291206762081,0.9999338900571079,0.9999289185317825,0.9999338832582698,0.999928203466841,0,,,
22,H1,0.9999894111260954,1.05888739045934e-05,0.0019833402925645504,0.9999227994582048,0.9999158357873561,0.9999206382177805,0.9999131446182324,0.9999193309394494,0.9999124441383402,0,,,
22,H2,0.9999894111260954,1.05888739045934e-05,0.0013066031925905387,0.9998881898278571,0.999880084479059,0.9998863089156095,0.9998758010639626,0.9998860985183953,0.999876844768519,0,,,
23,H0,0.9999885827401283,1.14172598717488e-05,0.0012809459623501507,0.9999100071762081,0.999902278016459,0.9999100071762126,0.99990227801646,0.9999100071762302,0.9999022780164638,0,,,
23,H1,0.9999885827401283,1.14172598717488e-05,0.0015702333110466113,0.9999005369036555,0.999891544813656,0.999885584365024,0.9998750362183477,0.9998842838502299,0.9998737476009399,0,,,
23,H2,0.9999885827401283,1.14172598717488e-05,0.001458978781723555,0.9999269375443545,0.9999207106403032,0.9999176866084483,0.9999103902370098,0.9999170207255876,0.9999095380777084,0,,,
24,H0,0.9999868239874061,1.3176012593874e-05,0.0012699906344698815,0.9999311305640269,0.9999260070615413,0.999930338430154,0.9999251380610523,0.9999302536127158,0.9999250451043754,0,,,
24,H1,0.9999868239874061,1.3176012593874e-05,0.0015945875091048702,0.9999045938456447,0.9999003783283766,0.9998988251324775,0.9998898187097052,0.9998978437489187,0.9998887410614151,0,,,
24,H2,0.9999868239874061,1.3176012593874e-05,0.0013375994326396766,0.9998913249759057,0.9998816511422705,0.9998874156732912,0.9998773331145598,0.9998869343983239,0.9998766825242122,0,,,
25,H0,0.9999861964971261,1.38035028739436e-05,0.001266259314101412,0.9999371844336409,0.9999321897588638,0.9999371844336334,0.9999321897588683,0.9999371844336011,0.9999321897588862,0,,,
25,H1,0.9999861964971261,1.38035028739436e-05,0.0013733460508814205,0.9999234633520031,0.9999214331902528,0.9999176232999636,0.9999106713929875,0.9999172052298714,0.999911753303063,0,,,
25,H2,0.9999861964971261,1.38035028739436e-05,0.0013655285457950148,0.999917606640407,0.9999118940040624,0.9999077635607354,0.9998998502322124,0.9999068077230409,0.9998986280953722,0,,,
26,H0,0.9999858955586922,1.41044413077829e-05,0.0012644996275817243,0.999908415057973,0.9999011058551875,0.9999084150579737,0.9999011058551869,0.9999084150579829,0.9999011058551829,0,,,
26,H1,0.9999858955586922,1.41044413077829e-05,0.0015116827427440953,0.9998945310226646,0.9998849040753878,0.9998873982643496,0.9998768380968012,0.9998857365749828,0.9998755886139071,0,,,
26,H2,0.9999858955586922,1.41044413077829e-05,0.0012549514188491605,0.9999057022316413,0.9999020018147803,0.9999021750993524,0.9998936039398946,0.9999016453935669,0.9998933845638552,0,,,
27,H0,0.999984918272474,1.50817275259563e-05,0.0012589097051469106,0.9999349220233738,0.9999302375335412,0.9999348853130832,0.9999302375335416,0.9999348894888632,0.9999302375335409,0,,,
27,H1,0.999984918272474,1.50817275259563e-05,0.001455431562606261,0.9999105335314302,0.9998987969199583,0.9998971049627469,0.9998935871899436,0.9998955649571281,0.9998864159389982,0,,,
27,H2,0.999984918272474,1.50817275259563e-05,0.0014939584788834495,0.9999167774486387,0.9999100090237756,0.9999098272231678,0.9999021482494435,0.9999106234828481,0.9999024900956043,0,,,
28,H0,0.9999836112575723,1.63887424277087e-05,0.0012517068932146507,0.9999247459197876,0.9999188584986594,0.9999244229702033,0.9999185178822917,0.9999243732883747,0.9999184528963505,0,,,
28,H1,0.9999836112575723,1.63887424277087e-05,0.001148201125428284,0.9999144471321498,0.9999077382136542,0.9999121513970851,0.9999053718611836,0.9999121453648754,0.9999046989477568,0,,,
28,H2,0.9999836112575723,1.63887424277087e-05,0.001827713592817889,0.9999200207048443,0.9999275929255202,0.9999044798457348,0.9998963516783391,0.9999040240789759,0.999895862372303,0,,,
29,H0,0.9999834265024687,1.65734975312581e-05,0.001250711999309712,0.9999283811041633,0.9999227936472393,0.9999283811041579,0.999922793647239,0.9999283811041295,0.9999227936472367,0,,,
29,H1,0.9999834265024687,1.65734975312581e-05,0.0013568253196551065,0.9999103976544929,0.9999033253618024,0.9999041037152775,0.9998966729472997,0.9999037325298775,0.9998956259577311,0,,,
29,H2,0.9999834265024687,1.65734975312581e-05,0.0013749600455734748,0.999901499166383,0.9998930928504358,0.9998897945825084,0.999880205839903,0.9998887969293564,0.9998792128059499,0,,,
30,H0,0.9999831413238557,1.68586761443157e-05,0.001249187038701122,0.9999101370640721,0.9999033528167436,0.9999095803524817,0.999902771897081,0.9999095733417445,0.9999027252278655,0,,,
30,H1,0.9999831413238557,1.68586761443157e-05,0.0015608835926726062,0.9998946028579658,0.9998855247899928,0.9998862798271538,0.9998763637771513,0.9998858171664959,0.9998758542914856,0,,,
30,H2,0.9999831413238557,1.68586761443157e-05,0.001927379898109881,0.9999108017553604,0.999903928225423,0.9998961245796504,0.9998872525281669,0.9998949275058292,0.9998858263687269,0,,,
31,H0,0.999981994804659,1.80051953410088e-05,0.0012431812360109724,0.9999390458253289,0.9999356785497044,0.9999382438300868,0.9999339144892904,0.9999382382363676,0.9999338964134343,0,,,
31,H1,0.999981994804659,1.80051953410088e-05,0.001983901422968107,0.999926556806389,0.9999103358810699,0.9999044598638809,0.9998964383068368,0.9999036586610952,0.9998953207402255,0,,,
31,H2,0.999981994804659,1.80051953410088e-05,0.001208556809808243,0.9999050263383705,0.9999005653465103,0.9998988565225948,0.9998905529932295,0.9998983991615825,0.9998898863729657,0,,,
32,H0,0.9999807400686458,1.92599313542097e-05,0.0012368214335879463,0.9999325472367708,0.9999278542955885,0.99993158226832,0.9999267832589197,0.9999315822683451,0.9999267832589523,0,,,
32,H1,0.9999807400686458,1.92599313542097e-05,0.0013045308896894718,0.9999057397210702,0.9998962876768471,0.9998928227936906,0.9998836675120273,0.9998926312352214,0.999883630460962,0,,,
32,H2,0.9999807400686458,1.92599313542097e-05,0.0017384091314158585,0.9999091091826777,0.9999090265208227,0.9998992333850741,0.9998908741199211,0.9998982524142399,0.9998897492674512,0,,,
33,H0,0.9999807199896826,1.92800103173685e-05,0.0012367213526211901,0.9999368679986365,0.9999326024861691,0.999936867998639,0.9999326024861712,0.9999368679986553,0.9999326024861782,0,,,
33,H1,0.9999807199896826,1.92800103173685e-05,0.001423176285206567,0.9999207414905859,0.9999146896743666,0.9999097850974127,0.9999012587259108,0.9999053910188171,0.999897615811951,0,,,
33,H2,0.9999807199896826,1.92800103173685e-05,0.0010671104262586404,0.999900910607873,0.9998923244676008,0.9998949328093694,0.999886594734317,0.9998945002987811,0.9998856926388181,0,,,
34,H0,0.9999804245786236,1.95754213764276e-05,0.001235254824866536,0.9999217055956502,0.9999166442993146,0.9999214778108501,0.9999164124142226,0.999921380207395,0.9999163203434032,0,,,
34,H1,0.9999804245786236,1.95754213764276e-05,0.0013554944687150822,0.9999025389873853,0.9998945939440781,0.9998971279029387,0.9998886176219471,0.9998966277580615,0.9998880783789723,0,,,
34,H2,0.9999804245786236,1.95754213764276e-05,0.0017324185312957193,0.9999209938067162,0.9999149343209676,0.9999179917123009,0.9999120849581102,0.9999179955333787,0.9999121368774089,0,,,
35,H0,0.9999789260363197,2.10739636803403e-05,0.0012279784214510663,0.999930606486171,0.9999258621670204,0.9999298429197544,0.9999250638583833,0.9999298413096206,0.9999250255237881,0,,,
35,H1,0.9999789260363197,2.10739636803403e-05,0.0010564016888379368,0.9999236757483667,0.9999177800627558,0.9999173496245332,0.9999111092527118,0.9999167847446615,0.9999104309075691,0,,,
35,H2,0.9999789260363197,2.10739636803403e-05,0.000988473043046293,0.9999127632278129,0.999905984401344,0.9999035566457228,0.9998958397996957,0.9999028224762304,0.9998950428299401,0,,,
36,H0,0.99997863981606,2.13601839399447e-05,0.0012266180443346044,0.9999233582663682,0.9999184347527229,0.9999230648024473,0.9999180974433745,0.9999230573486281,0.9999181007691639,0,,,
36,H1,0.99997863981606,2.13601839399447e-05,0.0015644058892706554,0.9999206176694931,0.9999134890021096,0.9999032162791393,0.9998952417724363,0.9999020573955099,0.999895304381814,0,,,
36,H2,0.99997863981606,2.13601839399447e-05,0.001096307844339023,0.9998828522473078,0.9998730555682276,0.9998775644236263,0.9998671874393537,0.9998775173122596,0.9998670593540664,0,,,
37,H0,0.9999782017135218,2.17982864781918e-05,0.0012245531041072874,0.9999058294990183,0.9998992683628894,0.9999058294990221,0.999899268362894,0.9999058294990345,0.9998992683629195,0,,,
37,H1,0.9999782017135218,2.17982864781918e-05,0.0013781896231460423,0.9999111120672559,0.9999042373895572,0.9999084199531076,0.9999015416949458,0.999907305051708,0.9999000640040738,0,,,
37,H2,0.9999782017135218,2.17982864781918e-05,0.0015906277035188348,0.999912279419095,0.9999063531163315,0.9999064523238609,0.9998979889680805,0.9999045451543962,0.9998974233141392,0,,,
38,H0,0.9999775387838377,2.24612161623394e-05,0.0012214670532153676,0.9999139277585332,0.999907684665372,0.9999136478191275,0.9999073751123966,0.9999136478190941,0.9999073751123979,0,,,
38,H1,0.9999775387838377,2.24612161623394e-05,0.001641282445828068,0.9999028224238254,0.999894609452395,0.9998938276868043,0.9998853049918549,0.9998949961267125,0.9998846648078663,0,,,
38,H2,0.9999775387838377,2.24612161623394e-05,0.0016275471877988117,0.9999075168032716,0.9999003860065717,0.9999005851217486,0.9998928725502632,0.9998999912095604,0.9998922969341216,0,,,
39,H0,0.9999744085017265,2.5591498273525e-05,0.0012074677626273621,0.9999089112159593,0.9999026585249231,0.9999086373129894,0.999902651052876,0.9999086498623715,0.9999026293874225,0,,,
39,H1,0.9999744085017265,2.5591498273525e-05,0.001591136081186318,0.9999133354143361,0.9999073128226118,0.9999025495279474,0.9998951726670667,0.999901912334799,0.9998945461557731,0,,,
39,H2,0.9999744085017265,2.5591498273525e-05,0.0011830392238590046,0.9998835316382889,0.9998731229746836,0.9998788280654803,0.999869037748886,0.9998783700945031,0.9998685411834769,0,,,
40,H0,0.9999742592136068,2.57407863931691e-05,0.0012068218507409337,0.9999178633044614,0.9999125529684652,0.9999178633044596,0.9999125529684715,0.9999178633044563,0.9999125529684966,0,,,
40,H1,0.9999742592136068,2.57407863931691e-05,0.001214982495811674,0.9998905330239801,0.9998819656630308,0.9998866804075683,0.9998777121082038,0.9998863630245876,0.999877367890253,0,,,
40,H2,0.9999742592136068,2.57407863931691e-05,0.0011140181793596413,0.999894168857438,0.9998859650175272,0.9998890065594022,0.9998803046015016,0.9998888217022674,0.9998800632693399,0,,,
41,H0,0.9999724444277631,2.75555722368814e-05,0.001199112957631043,0.9999217318181999,0.9999171165719103,0.9999217318182063,0.9999171165719123,0.9999217318182376,0.9999171165719186,0,,,
41,H1,0.9999724444277631,2.75555722368814e-05,0.0015619236639340625,0.9998950896749095,0.9998967906100176,0.9998903142656853,0.9998820467453484,0.9998902733046682,0.999881939070825,0,,,
41,H2,0.9999724444277631,2.75555722368814e-05,0.0016232482321055948,0.9999148045893574,0.9999056308220604,0.9999051130240612,0.9998982050418014,0.9999047316896076,0.9998977966708286,0,,,
42,H0,0.9999710122751596,2.89877248403902e-05,0.0011932046295687994,0.9999128303854883,0.9999072186571725,0.9999121980770078,0.9999065369838571,0.999912161510318,0.999906497428583,0,,,
42,H1,0.9999710122751596,2.89877248403902e-05,0.001221015547987864,0.999896276007838,0.9998887887588973,0.9998920073916086,0.9998841115260875,0.9998916945358882,0.9998830021601409,0,,,
42,H2,0.9999710122751596,2.89877248403902e-05,0.0014063761973570736,0.9999052585784027,0.9999023871780166,0.9998959576762232,0.999888770906256,0.9998954042147046,0.9998879350904759,0,,,
43,H0,0.999969510522715,3.04894772850117e-05,0.0011871617286130978,0.9999230601228237,0.9999188933373909,0.9999230601228236,0.9999188933373875,0.9999230601228194,0.9999188933373713,0,,,
43,H1,0.999969510522715,3.04894772850117e-05,0.0011678240112061248,0.9998954017535334,0.9998864830997567,0.9998808181941591,0.9998717618470798,0.9998796630430135,0.9998705051033462,0,,,
43,H2,0.999969510522715,3.04894772850117e-05,0.0011725466729757736,0.9999063525838532,0.9999001089546679,0.9999010466628538,0.9998940604778814,0.9999007766245062,0.9998937064281107,0,,,
44,H0,0.9999564152856523,4.3584714347733e-05,0.0011396843962254261,0.9999204200665998,0.9999169915020956,0.9999201963920874,0.999916731441975,0.9999202000154738,0.9999167345129383,0,,,
44,H1,0.9999564152856523,4.3584714347733e-05,0.0012510926804941815,0.9998877632412257,0.9998807212928499,0.9998829628193604,0.9998754616748116,0.9998828848013073,0.9998752776227302,0,,,
44,H2,0.9999564152856523,4.3584714347733e-05,0.0012097966285759582,0.9998683067549888,0.9998592709111712,0.9998553162187387,0.9998449442714323,0.9998539955634104,0.9998435242555831,0,,,
