controller,structure,fid,err,r_fs,speed,Fmin_m1_x1,Fmin_m105_x1,Fmin_m1_x4,Fmin_m105_x4,Fmin_m1_x16,Fmin_m105_x16,violated
21,H1,0.999991453193041,8.54680695572263e-06,0.0014249029401773128,28.486601216446488,0.9998728136157317,0.9998606742955661,0.9998679991517281,0.9998553583382058,0.9998661189602521,0.9998532695282959,0
21,H2,0.999991453193041,8.54680695572263e-06,0.0011466022332616763,35.400804787818394,0.9998853522212778,0.9998745127283103,0.9998722718812055,0.9998617194019216,0.9998707511573489,0.9998584619962643,0
22,H0,0.9999894111260924,1.05888739045934e-05,0.0021840278923482433,18.371173070873834,0.999832000682394,0.9998169892808796,0.9998298116991086,0.9998134878124437,0.999830819289393,0.9998134347486725,0
22,H1,0.9999894111260924,1.05888739045934e-05,0.0022494276762930025,17.83705020828555,0.9999090017475251,0.9998982056611873,0.9998995128909061,0.9998918741698373,0.9999010729750162,0.9998919973603606,0
22,H2,0.9999894111260924,1.05888739045934e-05,0.0014370436236532615,27.920623801206563,0.9998716468485939,0.9998572926434228,0.9998648498813557,0.9998521176116002,0.999864524562475,0.9998517931732196,0
23,H0,0.9999885827401261,1.14172598717488e-05,0.002174413936329877,18.371173070873834,0.9997695228929724,0.9997476281962905,0.9997695228929813,0.999747628196287,0.9997695228930087,0.9997476281962792,0
23,H1,0.9999885827401261,1.14172598717488e-05,0.0017496079222260972,22.831706603849057,0.9998840055161473,0.9998690741793587,0.9998607974943049,0.9998479223111822,0.9998591797528659,0.9998459908319611,0
23,H2,0.9999885827401261,1.14172598717488e-05,0.001768231185781701,22.591239806901502,0.9999009756458804,0.9998851052308534,0.9998839703381052,0.9998734299145114,0.9998831212645963,0.9998727421227246,0
24,H0,0.9999868239874006,1.3176012593874e-05,0.002155096956105761,18.371173070873834,0.999839636126732,0.9998255439419718,0.9998374530806987,0.9998231445963768,0.9998372207701354,0.9998228978774875,0
24,H1,0.9999868239874006,1.3176012593874e-05,0.001778763209732061,22.25797056545604,0.9998887724753396,0.9998821726882604,0.9998829077662128,0.9998659815017249,0.9998812223758359,0.9998647180188207,0
24,H2,0.9999868239874006,1.3176012593874e-05,0.0015332940038047184,25.82130959026091,0.9998629812371869,0.9998485045818938,0.999856264824553,0.9998430445630191,0.9998556851719812,0.999842281867218,0
25,H0,0.9999861964971253,1.38035028739436e-05,0.0021485206219225648,18.371173070873834,0.9998457373882446,0.9998313873714331,0.999845737388248,0.9998313873714406,0.9998457373882644,0.9998313873714739,0
25,H1,0.9999861964971253,1.38035028739436e-05,0.0015609652092597598,25.286178037496924,0.9999090592494394,0.9999003408463767,0.9998996689044819,0.99988817549135,0.9998970918445791,0.9998881207267203,0
25,H2,0.9999861964971253,1.38035028739436e-05,0.00159245217560458,24.786203815945484,0.9998929400861236,0.9998846647961726,0.9998836186348702,0.9998684158726889,0.9998830314479296,0.9998670805286634,0
26,H0,0.9999858955586918,1.41044413077829e-05,0.0021454197439768298,18.371173070873834,0.9997771468893457,0.9997568346819768,0.9997771468893496,0.9997568346819795,0.9997771468893601,0.9997567330208899,0
26,H1,0.9999858955586918,1.41044413077829e-05,0.0016885475061075414,23.341882466265623,0.9998716164046255,0.9998615709700593,0.9998623190723563,0.9998499096810666,0.9998609891115959,0.9998480844082028,0
26,H2,0.9999858955586918,1.41044413077829e-05,0.0014243878560863555,27.670748004382485,0.999891314359667,0.9998914431866511,0.9998774773942924,0.9998862293834462,0.999877779702032,0.9998740475714778,0
27,H0,0.9999849182724715,1.50817275259563e-05,0.0021355714995614323,18.371173070873834,0.9998509443578681,0.9998379575664534,0.9998509443578684,0.9998379575664483,0.9998509443578684,0.9998379575664249,0
27,H1,0.9999849182724715,1.50817275259563e-05,0.0016153102028686425,24.288185361545118,0.9998993687985633,0.9998797966256626,0.9998763187635025,0.9998713013036016,0.9998771943482058,0.9998788561804279,0
27,H2,0.9999849182724715,1.50817275259563e-05,0.0016576061414933355,23.668441279014395,0.999901325919922,0.999890473407404,0.999894188296837,0.9998886857640268,0.9998936829469813,0.9998845416042198,0
28,H0,0.9999836112575711,1.63887424277087e-05,0.0021228865880547313,18.371173070873834,0.9998175774842446,0.999800806573798,0.9998169902743742,0.999809849506215,0.9998165211817283,0.9997997862701654,0
28,H1,0.9999836112575711,1.63887424277087e-05,0.001434435968882858,27.188328907677583,0.9998779680578175,0.9998649926548885,0.9998723041614141,0.9998614125272287,0.9998720893164484,0.9998606374212138,0
28,H2,0.9999836112575711,1.63887424277087e-05,0.0020172083523008685,19.333608684748018,0.999916781376651,0.9998994410770328,0.9998872204579923,0.9998773527904271,0.9998866980509741,0.9998774557754476,0
29,H0,0.9999834265024671,1.65734975312581e-05,0.002121134908371125,18.371173070873834,0.9998263418891113,0.9998103355307598,0.999826341889109,0.9998103355307577,0.9998263418891006,0.9998103355307358,0
29,H1,0.9999834265024671,1.65734975312581e-05,0.0015880626082832106,24.53790946597784,0.9998829493172754,0.9999010584933368,0.9998749173004533,0.9998644653984149,0.9998752229212926,0.9998631734173086,0
29,H2,0.9999834265024671,1.65734975312581e-05,0.0016259521462804155,23.966102936978803,0.9998710025003738,0.9998607731288962,0.9998535082234832,0.9998402051799012,0.9998515724473848,0.9998376347901048,0
30,H0,0.9999831413238529,1.68586761443157e-05,0.002118450160395856,18.371173070873834,0.9998144857225177,0.9997701779412654,0.9997871185335797,0.9997683595095732,0.9997870931531737,0.9997681737755187,0
30,H1,0.9999831413238529,1.68586761443157e-05,0.0018009393327992646,21.6100641647714,0.9998707345131934,0.9998510829502045,0.9998542435035425,0.9998410367894618,0.9998538334747066,0.9998402906699654,0
30,H2,0.9999831413238529,1.68586761443157e-05,0.0021700723492993125,17.93415530648964,0.9998920655550531,0.9998827347913097,0.9998729566256164,0.9998617144117288,0.9998713951542599,0.9998600373359219,0
31,H0,0.9999819948046581,1.80051953410088e-05,0.002107879131482897,18.371173070873834,0.9998681216361177,0.9998567627665086,0.999862189094783,0.9998499110164286,0.9998597034108514,0.9998473993170698,0
31,H1,0.9999819948046581,1.80051953410088e-05,0.0021804074706178954,17.760080562364635,0.9999047703944152,0.9999080412731398,0.9998884018350289,0.9998796353211817,0.9998876366481028,0.9998775856597326,0
31,H2,0.9999819948046581,1.80051953410088e-05,0.0013886150125962773,27.886931932669604,0.9998845120976347,0.9998698878141193,0.9998721982193871,0.9998609600366437,0.9998717134321933,0.9998603731139976,0
32,H0,0.9999807400686423,1.92599313542097e-05,0.0020966891912113737,18.371173070873834,0.9998510926720676,0.9998382776884012,0.9998493718507757,0.9998313446237327,0.9998448629841312,0.9998313446237069,0
32,H1,0.9999807400686423,1.92599313542097e-05,0.0014359381869693672,26.824720142634067,0.9998968577390218,0.9998802526440587,0.9998740694348054,0.9998638008956748,0.9998740663986581,0.9998632881372918,0
32,H2,0.9999807400686423,1.92599313542097e-05,0.001936902220480269,19.886724069129134,0.9998914316827152,0.9998928720277767,0.9998795455629155,0.9998691668713663,0.9998782969737495,0.999867866641702,0
33,H0,0.9999807199896834,1.92800103173685e-05,0.0020965131351898805,18.371173070873834,0.9998598397609465,0.999847836577618,0.9998598397609471,0.9998478365776149,0.9998598397609527,0.9998478365775956,0
33,H1,0.9999807199896834,1.92800103173685e-05,0.001538026319602693,25.04209788938008,0.9999108083893102,0.9999037693908064,0.999894470289958,0.9998911143586965,0.9998927385046029,0.9998858283038609,0
33,H2,0.9999807199896834,1.92800103173685e-05,0.0012207521001279358,31.550554488415102,0.9998769002213103,0.9998666427392263,0.9998689193321195,0.9998576908960419,0.9998679802267233,0.9998564415452058,0
34,H0,0.9999804245786249,1.95754213764276e-05,0.002093933434984019,18.371173070873834,0.9998331910908039,0.9998197243075073,0.9998329693123567,0.999819512595694,0.9998329466015141,0.9998195057582928,0
34,H1,0.9999804245786249,1.95754213764276e-05,0.0015409766424589924,24.963398193755843,0.9998859063410009,0.9998762721152842,0.9998742443657229,0.9998618583170301,0.9998735532263345,0.9998625705934762,0
34,H2,0.9999804245786249,1.95754213764276e-05,0.0020039490200467296,19.196103866995443,0.9999010159140758,0.999892914564711,0.9998976004683638,0.9998894483238715,0.9998970070686655,0.9998892178736214,0
35,H0,0.9999789260363182,2.10739636803403e-05,0.0020811372310963225,18.371173070873834,0.9998434579716446,0.9998298785146991,0.9998424102162898,0.9998287441079099,0.9998423217309798,0.9998286487764689,0
35,H1,0.9999789260363182,2.10739636803403e-05,0.0011816001676799176,32.356911671551636,0.9999114793465262,0.9999045936854197,0.9999041295751873,0.9998947693629345,0.9999012752661041,0.9998952542517395,0
35,H2,0.9999789260363182,2.10739636803403e-05,0.0011291618359854055,33.85956825519549,0.9998925979210173,0.9998837525146627,0.9998806250120779,0.9998705727934895,0.9998796775870348,0.9998695293871227,0
36,H0,0.9999786398160629,2.13601839399447e-05,0.0020787455101437006,18.371173070873834,0.9998365234257897,0.9998232140519815,0.9998353710127852,0.9998219199823539,0.9998352465703857,0.9998217664603601,0
36,H1,0.9999786398160629,2.13601839399447e-05,0.0016803124780382327,22.727316517780995,0.9999123243720413,0.9999135037062589,0.9998914201917221,0.9998824865841657,0.999890315330976,0.9998810453785438,0
36,H2,0.9999786398160629,2.13601839399447e-05,0.0011971938118172133,31.89875620822413,0.9998653581597003,0.9998527808687191,0.9998580927474632,0.9998457475896848,0.9998579798383896,0.9998547370043731,0
37,H0,0.999978201713519,2.17982864781918e-05,0.0020751154501620853,18.371173070873834,0.9997896032965564,0.999771727577389,0.999789603296555,0.9997717275773972,0.9997896032965614,0.99977172757742,0
37,H1,0.999978201713519,2.17982864781918e-05,0.0015821098261207106,24.09586518430694,0.9998897964962455,0.999880737507554,0.9998866325072926,0.9998764140977702,0.9998848694643541,0.9998753434548147,0
37,H2,0.999978201713519,2.17982864781918e-05,0.001733533941516065,21.991092394552144,0.999907041511716,0.9998981025290159,0.9998930275930222,0.9998842069822318,0.9998912566150792,0.9998846929792022,0
38,H0,0.9999775387838366,2.24612161623394e-05,0.002069691172725257,18.371173070873834,0.9998011141541535,0.999783500049256,0.9998002910483453,0.9998013504649704,0.9998002910483799,0.9997825913034041,0
38,H1,0.9999775387838366,2.24612161623394e-05,0.001785845871698866,21.29111774983402,0.999887670359098,0.9998799226434946,0.9998827982315341,0.9998735892843187,0.9998808141997801,0.9998677046687067,0
38,H2,0.9999775387838366,2.24612161623394e-05,0.0018507267911467846,20.544715146115742,0.9998919813890224,0.9998779652665133,0.9998834264812808,0.9998697660770686,0.9998777835165528,0.9998674959632324,0
39,H0,0.9999744085017286,2.5591498273525e-05,0.002045097636921041,18.371173070873834,0.999802467436348,0.9997853053747536,0.9998016768659155,0.9997851607727946,0.9998016907456106,0.9997851564212002,0
39,H1,0.9999744085017286,2.5591498273525e-05,0.0018756415321585938,20.03092914639873,0.9998900950911327,0.9998817381438923,0.9998748623031493,0.9998702573016954,0.9998739262503673,0.9998634182944947,0
39,H2,0.9999744085017286,2.5591498273525e-05,0.001330126338928841,28.24607071909243,0.9998625186704526,0.9998462976547596,0.9998541088781656,0.999841547704168,0.9998534249076657,0.9998408671176257,0
40,H0,0.9999742592136073,2.57407863931691e-05,0.002043963419501376,18.371173070873834,0.999823083732718,0.9998084020398156,0.9998230837327234,0.9998084020398152,0.9998230837327479,0.9998084020398145,0
40,H1,0.9999742592136073,2.57407863931691e-05,0.0013285287027808383,28.26435413220375,0.9998741809902123,0.9998639392160936,0.9998695629291444,0.999858841360775,0.9998692009624073,0.9998585071578352,0
40,H2,0.9999742592136073,2.57407863931691e-05,0.0012368289758875304,30.359901378644153,0.9998757213981486,0.9998654382709659,0.9998739878239337,0.9998587887291388,0.9998689926055555,0.9998581408536342,0
