controller,structure,fid,err,KM,Fmin_m1_grid,Fmin_m105_grid,Fmin_m1_x4,Fmin_m105_x4,Fmin_m1_x16,Fmin_m105_x16,violated,omega_avg_traj,omega_unc_traj,omega_avg_excess
7,H1,0.9999983494355296,1.65056447043455e-06,0.002793886797880379,0.9994925234385538,0.9994611006734112,0.9994510123029304,0.9994008377526962,0.9994480316089279,0.9993930840065114,0,,,
7,H2,0.9999983494355296,1.65056447043455e-06,0.003121063230540295,0.9996375203837992,0.999615193837806,0.9995863156251187,0.999542886892455,0.9995848155509933,0.999538644103757,0,,,
8,H0,0.9999976099109873,2.39008901270488e-06,0.0030043497198750236,0.9997129049730922,0.9996838107875158,0.999712904973097,0.9996838107875199,0.9997129049731227,0.9996838107875345,0,,,
8,H1,0.9999976099109873,2.39008901270488e-06,0.003693960053256756,0.9995320651146694,0.999484322148385,0.9995061381508108,0.9994555687085159,0.9995045760533605,0.9994545771312071,0,,,
8,H2,0.9999976099109873,2.39008901270488e-06,0.0028257447190614396,0.9997200845325975,0.9996897677941848,0.9996916532916993,0.9996608399997603,0.999688753753948,0.9996571063399711,0,,,
9,H0,0.9999972515493131,2.74845068692908e-06,0.002813933719073615,0.9997340710961222,0.9997071227613944,0.9997340710961286,0.9997071227613938,0.9997340710961522,0.9997071227613931,0,,,
9,H1,0.9999972515493131,2.74845068692908e-06,0.003417544928507707,0.9995599157852512,0.9995157044574919,0.9995284075142736,0.999480169789562,0.9995281347847385,0.9994763364194709,0,,,
9,H2,0.9999972515493131,2.74845068692908e-06,0.0034264702347167027,0.9996335240660201,0.9996118830973835,0.9996166991749038,0.999577724196887,0.9996145238569748,0.9995771689902753,0,,,
10,H0,0.9999964305638135,3.5694361865124e-06,0.0033632445432537255,0.9996901706777687,0.9996660051585274,0.9996839009643573,0.999651994422846,0.9996838116384669,0.9996518931939585,0,,,
10,H1,0.9999964305638135,3.5694361865124e-06,0.0023727093524680146,0.9995844641568215,0.9995421063769268,0.9995447905200899,0.9994985302483087,0.9995406780896894,0.9994939207943133,0,,,
10,H2,0.9999964305638135,3.5694361865124e-06,0.0030325644155526615,0.9994489837943408,0.9993942720994768,0.9993630714236527,0.9992981429099398,0.9993584571524082,0.999293011923142,0,,,
11,H0,0.9999963832699197,3.6167300803136e-06,0.003120850430483498,0.9996995309861805,0.999669191069622,0.9996980521598174,0.999667551960484,0.999698052159809,0.9996732463250425,0,,,
11,H1,0.9999963832699197,3.6167300803136e-06,0.0038643097185354952,0.9993244940237027,0.9992553838474062,0.9992791654499759,0.9992058745192942,0.9992776470416763,0.9992042311599494,0,,,
11,H2,0.9999963832699197,3.6167300803136e-06,0.004574702931389659,0.9994540609481121,0.9993918146574317,0.9994129388032872,0.9993526292144268,0.9994073332034838,0.9993469468362104,0,,,
12,H0,0.9999959548828486,4.04511715135225e-06,0.002687996266337397,0.9997641801494372,0.999741118184902,0.9997641801494352,0.9997411181849027,0.9997641801494199,0.9997411181848997,0,,,
12,H1,0.9999959548828486,4.04511715135225e-06,0.002971216380384525,0.9995291930318655,0.999486016051887,0.9995052986456625,0.9994546211318167,0.9995032046241622,0.99945267215158,0,,,
12,H2,0.9999959548828486,4.04511715135225e-06,0.003386508103064075,0.9998059759296282,0.9997951142256469,0.9997847371600687,0.9997629756659747,0.9997840848851797,0.9997622192783394,0,,,
13,H0,0.9999957175219889,4.28247801109727e-06,0.002557160479504903,0.9997237082599605,0.9996965561286331,0.9997237082599533,0.9996965561286418,0.9997237082599281,0.9996965561286759,0,,,
13,H1,0.9999957175219889,4.28247801109727e-06,0.002718489432494194,0.9996687138539414,0.999636689949835,0.9996285657792812,0.999590937173843,0.9996328563616947,0.9995921957996603,0,,,
13,H2,0.9999957175219889,4.28247801109727e-06,0.0032268832313260697,0.9996561945142305,0.9996232038619909,0.9996342912486943,0.9995917169360796,0.9996294701711946,0.999590761414329,0,,,
14,H0,0.9999949655878757,5.03441212429401e-06,0.0032012417083132406,0.9997237051619072,0.9996961688732797,0.9997217577782649,0.9996940116546408,0.9997279605962068,0.9996940116546565,0,,,
14,H1,0.9999949655878757,5.03441212429401e-06,0.0024554325371273357,0.9995064687944194,0.9994555743538208,0.9994997168503101,0.9994513634411012,0.9994977479095828,0.9994478256930248,0,,,
