controller,structure,fid,err,MB_ind,MB_sys,gamma_ind,gamma_sys,magnus_ok,Fmin_attack
33,H1,0.9999807199896826,1.92800103173685e-05,0.0014239535837302839,0.0029607782414041934,0.4651104879920278,0.16433468729026735,1,nan
33,H2,0.9999807199896826,1.92800103173685e-05,0.0010365589024704087,0.0019619555280057134,0.2988186036377097,0.08554341959596046,1,nan
34,H0,0.9999804245786236,1.95754213764276e-05,0.0012589205910692619,0.0027003119455387054,1.0,0.43550286993566145,1,nan
34,H1,0.9999804245786236,1.95754213764276e-05,0.001320806548115304,0.0024089726818761646,0.30979748833009707,0.10409888020908999,1,nan
34,H2,0.9999804245786236,1.95754213764276e-05,0.0016734355684037711,0.0032079231493344277,0.28089031396989816,0.06923574935487325,1,nan
35,H0,0.9999789260363197,2.10739636803403e-05,0.0012513658877655594,0.0028827302544604406,1.0,0.4000943136247942,1,nan
35,H1,0.9999789260363197,2.10739636803403e-05,0.0010377641194717457,0.002173947746250976,0.3429052751671845,0.08697023315766907,1,nan
35,H2,0.9999789260363197,2.10739636803403e-05,0.0009605764655541571,0.001894490961336721,0.2998528401002976,0.07505497784268195,1,nan
36,H0,0.99997863981606,2.13601839399447e-05,0.0012499536634028043,0.002885028805168947,1.0,0.3992014837779639,1,nan
36,H1,0.99997863981606,2.13601839399447e-05,0.0015697104353438454,0.0037989398008992617,0.49614224972687293,0.1351038415958473,1,nan
36,H2,0.99997863981606,2.13601839399447e-05,0.001090562606319656,0.002442329894182394,0.41569953764815115,0.11294228313709033,1,nan
37,H0,0.9999782017135218,2.17982864781918e-05,0.0012478101334763218,0.0024693319228969368,1.0,0.47860312518921,1,nan
37,H1,0.9999782017135218,2.17982864781918e-05,0.0013358186533878329,0.002139582391041811,0.2910203178666273,0.1293338304376154,1,nan
37,H2,0.9999782017135218,2.17982864781918e-05,0.0015838465212449093,0.003305885563695826,0.4231015769726112,0.13858303021902194,1,nan
38,H0,0.9999775387838377,2.24612161623394e-05,0.0012446068779026482,0.0029686145805137842,1.0,0.3836999644467482,1,nan
38,H1,0.9999775387838377,2.24612161623394e-05,0.0016355065313918996,0.003303159597590959,0.4289714862809439,0.1524554804276723,1,nan
38,H2,0.9999775387838377,2.24612161623394e-05,0.0015849200861261777,0.002903839287946016,0.3069233355085544,0.10141583140618224,1,nan
39,H0,0.9999744085017265,2.5591498273525e-05,0.0012300796347670903,0.0022823433837590814,1.0,0.5154229682462852,1,nan
39,H1,0.9999744085017265,2.5591498273525e-05,0.0015214308700540863,0.00262853133655842,0.25196109204147926,0.07853051751497427,1,nan
39,H2,0.9999744085017265,2.5591498273525e-05,0.0011582034967518925,0.0022698045617327084,0.32702694472000204,0.09663484236271425,1,nan
40,H0,0.9999742592136068,2.57407863931691e-05,0.001229409511028369,0.0022169314496267877,1.0,0.5322468432622892,1,nan
40,H1,0.9999742592136068,2.57407863931691e-05,0.0012069645125489888,0.0027591691754173062,0.4055649595966349,0.10209145970875574,1,nan
40,H2,0.9999742592136068,2.57407863931691e-05,0.001097810573662067,0.002539994946376778,0.3574265006178787,0.069502041320989,1,nan
41,H0,0.9999724444277631,2.75555722368814e-05,0.0012214126547813384,0.0027567123786716124,1.0,0.41087397936383685,1,nan
41,H1,0.9999724444277631,2.75555722368814e-05,0.0015391177457352275,0.002954175992378269,0.35687099752533774,0.12306514574648464,1,nan
41,H2,0.9999724444277631,2.75555722368814e-05,0.0015914681653548587,0.0031500003918716016,0.3328527948049805,0.09815852895204161,1,nan
42,H0,0.9999710122751596,2.89877248403902e-05,0.00121528487583951,0.002304136020900658,1.0,0.5032685970081588,1,nan
42,H1,0.9999710122751596,2.89877248403902e-05,0.001192794716059022,0.002398037753981043,0.3175669749957632,0.08378540550475141,1,nan
42,H2,0.9999710122751596,2.89877248403902e-05,0.0013735420090172752,0.002404028793346087,0.3166226514180381,0.12297768448289507,1,nan
43,H0,0.999969510522715,3.04894772850117e-05,0.0012090186501124052,0.002717384909503765,1.0,0.41324950950121786,1,nan
43,H1,0.999969510522715,3.04894772850117e-05,0.0011620973933644512,0.0029063056950656466,0.41776483839312706,0.08483498507554285,1,nan
43,H2,0.999969510522715,3.04894772850117e-05,0.001133029596541338,0.0020655556972606686,0.2796177207691914,0.08501162300131582,1,nan
44,H0,0.9999564152856523,4.3584714347733e-05,0.0011598262811399547,0.0025650020430057104,1.0,0.42252175293927835,1,nan
44,H1,0.9999564152856523,4.3584714347733e-05,0.0011624518631254675,0.0016332276897321478,0.19198417426879763,0.09065466630222684,1,nan
44,H2,0.9999564152856523,4.3584714347733e-05,0.0012079534870132282,0.0025042838179798054,0.446278257874137,0.15868428696769984,1,nan
45,H0,0.9999550715123738,4.49284876261613e-05,0.0011552228930347436,0.002756249681971495,1.0,0.38611262303112254,1,nan
45,H1,0.9999550715123738,4.49284876261613e-05,0.0013353687107087783,0.002544473804695795,0.3330551542791232,0.11247935207382304,1,nan
45,H2,0.9999550715123738,4.49284876261613e-05,0.0010913288265929503,0.0019444322379277127,0.2775180957505438,0.09250804631314019,1,nan
46,H0,0.9999470205626795,5.29794373205217e-05,0.0011289658663926152,0.002519327164278783,1.0,0.4188645717213217,1,nan
46,H1,0.9999470205626795,5.29794373205217e-05,0.0011670822379535497,0.0025391604140577884,0.41259513664947034,0.12601091421757146,1,nan
46,H2,0.9999470205626795,5.29794373205217e-05,0.0012259525477534509,0.003065278644517128,0.45148432633031116,0.10847890568807234,1,nan
47,H0,0.9999444525464534,5.55474535466338e-05,0.0011210131334288625,0.002849042194880883,1.0,0.3584795512747464,1,nan
47,H1,0.9999444525464534,5.55474535466338e-05,0.0009913958087513744,0.0020652351258228525,0.379921624871462,0.11909663447772814,1,nan
47,H2,0.9999444525464534,5.55474535466338e-05,0.0013597299520600053,0.0031776256465706654,0.4032708569355086,0.10086896738324179,1,nan
48,H0,0.9999438611998864,5.61388001135699e-05,0.0011192077780114895,0.002619960023018944,1.0,0.3960612843947691,1,nan
48,H1,0.9999438611998864,5.61388001135699e-05,0.0009493982872803652,0.0021035447303265086,0.3382006150697327,0.07620811038350474,1,nan
48,H2,0.9999438611998864,5.61388001135699e-05,0.000970170480715727,0.001804656376676818,0.2823347019188076,0.08596077451149554,1,nan
49,H0,0.9999436897848124,5.63102151875938e-05,0.001118686217046427,0.0027347639840577106,1.0,0.3759714637512379,1,nan
49,H1,0.9999436897848124,5.63102151875938e-05,0.0014254880333601408,0.00268415584214019,0.34751783145374343,0.12727617150166323,1,nan
49,H2,0.9999436897848124,5.63102151875938e-05,0.001514925738093222,0.003161151864915985,0.3608004063322791,0.10683396391673071,1,nan
50,H0,0.9999403929265362,5.96070734637522e-05,0.0011088036439483152,0.0023659133889516485,1.0,0.44182922602259234,1,nan
50,H1,0.9999403929265362,5.96070734637522e-05,0.001440580406554976,0.0026444440500082394,0.3285531127912559,0.12224446897207528,1,nan
50,H2,0.9999403929265362,5.96070734637522e-05,0.0014149073285996453,0.0036019300531089857,0.43380906935739894,0.09521330012738892,1,nan
51,H0,0.9999377005712213,6.22994287786671e-05,0.001100932129955723,0.002854713530616852,1.0,0.350341261744941,1,nan
51,H1,0.9999377005712213,6.22994287786671e-05,0.001159612780388897,0.002470218433918852,0.37618488633849123,0.11159977451062847,1,nan
51,H2,0.9999377005712213,6.22994287786671e-05,0.001407051240927199,0.0036653857745900307,0.4573158518766397,0.10194318211823247,1,nan
52,H0,0.9999335906978701,6.64093021298662e-05,0.0010892339818460758,0.0021774209850861817,1.0,0.476517539395143,1,nan
52,H1,0.9999335906978701,6.64093021298662e-05,0.0013203342330959582,0.002660083702774263,0.43962318841165654,0.1666571953278377,1,nan
52,H2,0.9999335906978701,6.64093021298662e-05,0.001370409209635316,0.0027086274820185166,0.33830196249832295,0.10902932016723275,1,nan
53,H0,0.9999330801517845,6.69198482154965e-05,0.0010878060943834231,0.0023968665346994367,1.0,0.42618962940729754,1,nan
53,H1,0.9999330801517845,6.69198482154965e-05,0.0014022500925978188,0.0023367943390640647,0.20648528523266235,0.05970158473213203,1,nan
53,H2,0.9999330801517845,6.69198482154965e-05,0.0011796960417927895,0.0022037411562520533,0.39565895614160496,0.16235266048739275,1,nan
54,H0,0.9999223709138325,7.76290861674855e-05,0.0010590080679549752,0.0020543090336482676,1.0,0.4935870155631593,1,nan
54,H1,0.9999223709138325,7.76290861674855e-05,0.0012767790274676697,0.002042175444162199,0.2705482966001813,0.12149457877325512,1,nan
54,H2,0.9999223709138325,7.76290861674855e-05,0.0013752363954350215,0.0029202430326334293,0.3599501008086502,0.10481324174529905,1,nan
55,H0,0.9999206945115415,7.93054884584699e-05,0.0010546824434291234,0.0021677283587000396,1.0,0.4624949123292136,1,nan
55,H1,0.9999206945115415,7.93054884584699e-05,0.001322860491256277,0.00215323451473692,0.2823409585671264,0.12561150296129708,1,nan
55,H2,0.9999206945115415,7.93054884584699e-05,0.00150528304054103,0.0030090853635156775,0.346406931005169,0.11297093491882511,1,nan
56,H0,0.9999190346862958,8.09653137041622e-05,0.001050443875485678,0.002011001893766208,1.0,0.5010994200320968,1,nan
56,H1,0.9999190346862958,8.09653137041622e-05,0.0010145445613538265,0.001634423445578332,0.23410122315267912,0.09201542103212464,1,nan
56,H2,0.9999190346862958,8.09653137041622e-05,0.0012227023465829164,0.0034979153152382074,0.42550052117006437,0.06399203427965602,1,nan
57,H0,0.9999084156898567,9.15843101433333e-05,0.001024285916657916,0.0022567110045893734,1.0,0.4278472522180116,1,nan
57,H1,0.9999084156898567,9.15843101433333e-05,0.0010183012515922157,0.0018187468871704332,0.31178277218105543,0.1223020644770073,1,nan
57,H2,0.9999084156898567,9.15843101433333e-05,0.0008478218672087396,0.0017108481616638924,0.3006361332894453,0.08222604047804921,1,nan
58,H0,0.9999069849275312,9.30150724688383e-05,0.0010208785789321542,0.002220049452257829,1.0,0.43440651419221676,1,nan
58,H1,0.9999069849275312,9.30150724688383e-05,0.0007106849340205166,0.0013889921280981008,0.3069666004200734,0.09499865920338542,1,nan
58,H2,0.9999069849275312,9.30150724688383e-05,0.0008835495991900876,0.001676907464287101,0.2651671062007512,0.0738190075310402,1,nan
59,H0,0.9999037240988098,9.62759011902126e-05,0.001013208335410975,0.001916122453389866,1.0,0.5087222555511504,1,nan
59,H1,0.9999037240988098,9.62759011902126e-05,0.001366024614335625,0.0030895976072186407,0.5643203548638892,0.2034039497386354,1,nan
